" ","  表 5-1 勞工服務中心服務概況","","","","","","","","  Table 5-1  Counseling Service by Worker Consultation Service Centers","","","","","","","","","",
"  84年  1995 ","55545","35013","5784","1730","2053","","10965","7236","5259","6863","0","0","6034","15475","12842","3510","0","3480",
"  85年  1996 ","65546","41283","5205","6337","2290","","10431","6812","5344","7982","0","0","4597","25158","13092","2844","0","4875",
"  86年  1997 ","62832","35946","4899","5567","2096","419","13905","8003","6668","8761","0","2082","5191","28010","6878","3037","2141","4387",
"  87年  1998 ","80023","43747","5164","9741","1777","926","18668","7205","8822","16048","0","3678","4843","36018","4533","2638","4948","7462",
"  88年  1999 ","95372","60590","7735","8558","1950","1035","15504","9487","8982","17758","0","3159","6628","37237","9367","3238","6514","7367",
"  89年  2000 ","114061","78314","8495","7891","2255","1132","15974","12503","11215","18082","0","4109","8171","36074","14761","5386","11355","11665",
"  90年  2001 ","139935","93318","12272","9098","2673","1269","21305","15665","16616","29708","0","7505","12901","32145","17378","7332","13617","9369",
"  91年  2002 ","350679","299423","13072","14482","2678","1555","19469","17992","19306","34825","2426","8782","17795","27110","31955","174006","16562","12887",
"  92年  2003 ","593481","420132","41718","47160","2873","1719","79879","22251","20812","35370","2574","8805","28307","183886","25698","247352","18447","21574",
"  93年  2004 ","558349","454794","14561","30548","2626","1084","54736","25597","21118","49408","4783","8619","22872","61039","42714","286019","36388","22003",
"  94年  2005 ","557806","454416","15676","23741","3047","1444","59482","50924","35136","67072","5027","9474","22419","31912","71629","240618","46486","30550",
"  95年  2006 ","573944","486077","18532","9648","3780","1675","54232","55759","31301","45148","7225","13152","22089","36730","71367","296818","56777","34019",
"  96年  2007 ","619932","508505","22071","13160","3341","987","71868","63926","37480","55550","7142","14809","27195","36477","62905","286248","62879","42323",
"  97年  2008 ","696047","560514","22815","18459","2543","1239","90477","72330","46607","65618","7815","15582","33863","27518","88585","317390","66332","42266",
"  98年  2009 ","678722","589823","21633","16385","1856","1105","47920","93516","38562","53576","11052","11839","44548","30918","123642","277933","79101","44697",
"  99年  2010 ","637260","547102","18775","17087","1402","491","52403","77899","41907","48773","10882","12339","32409","24673","98978","270684","85908","43095",
" 100年  2011 ","694642","607997","20411","11439","1482","364","52949","83037","58126","50201","13635","17346","33225","20864","82009","314069","83688","38450",
" 101年  2012 ","713262","617448","26529","12990","3195","881","52219","92849","62366","48321","13055","14289","33838","20626","87788","315915","77194","38428",
" 102年  2013 ","754799","639168","35607","15807","7912","1972","54333","100927","61576","50236","11117","13428","34149","20904","74313","337206","73932","37926",
" 103年  2014 ","754939","628128","40687","12335","3656","1712","68421","105629","68322","45034","16807","12888","29699","22493","73256","341556","78677","39096",
" 104年  2015 ","767861","662477","31134","9338","3006","1349","60557","106380","77272","49234","17560","11425","25076","23371","77247","337771","82154","43310",
" 105年  2016 ","891775","774082","34126","12285","3432","1277","66573","117326","124424","53861","13990","19243","27857","22049","68453","384980","78740","59022",
" 資料來源： 勞動部勞動福祉退休司。 ","","","","","","","","  Source：","  The Department of Employment Welfare and Retirement, MOL.","","","","","","","","","",
" 說　　明： 81年6月以前資料僅本部服務中心案件，81年7月起包括本部及各縣市服務中心案件，91年3月起資料包含 ","","","","","","","","  Note：","  By June 1992, statistical series contained only the cases dealt by the service centers of the MOL.","","","","","","","","","",
" 本部電話服務中心案件。 ","","","","","","","","","  From July 1992, the cases dealt by the service centers of Cities and Counties were also included. After March 2002, the cases of","","","","","","","","","",
" 附　　註： (1)每一案件容有2項以上諮詢種類。 ","","","","","","","","","  MOL telephone service centers were accepted.","","","","","","","","","",
" (2)外勞問題包含外籍勞工與外國專業人員。 ","","","","","","","",,,,,,,,,,,,
,,,,,,,,"  Remark：","  (1)The classification of services permits two or more than offered services for each case.","","","","","","","","","",
,,,,,,,,"","  (2)Foreign labor issues contains foreign workers and foreign workers for special professions of technical assignment.","","","","","","","","","",
" ","","","  -108-","","","","","","","","","","   -109-","","","","","",
