" 　　 10月 　　 Oct. ","492157","97.75","6396278","90.34","3242956","3153322","37040","16787620","11690","1688652","3","3","99","1651741272",
" 　　 11月 　　 Nov. ","492917","97.78","6433155","90.37","3261863","3171292","37012","14745185","11832","1662577","78","3","7260","1673529479",
" 　　 12月 　　 Dec. ","492842","97.82","6395674","90.25","3248573","3147101","37125","16450812","10787","1607454","0","0","0","1698179650",
" 自94年7月起累計數 ","","","","","","",,,,,,,,,
" Cumulation from July 2005 ","","","","","","","","1550056266","568246","65092775","","83","65236","",
" 資料來源： 勞動部勞工保險局及勞動基金運用局。 ","","","","","","","  Source： Bureau of Labor Insurance, MOL and Bureau of Labor Funds.","","","","","","","",
" 說　　明： 1.本資料為該局受理本項業務(94年7月1日)起計算。 ","","","","","","","  Note： 1.Data series have been established from July 2005.","","","","","","","",
" 2.配合勞工退休金條例施行細則修正，勞工退休金新增「月退休金」項目，核發名稱亦予修改。 ","","","","","","","  2.According to the Implementation Rules of the Labor Pension Act of the amendment to the Labor Pension increase the monthly","","","","","","","",
,,,,,,,"     pension payments project,the category was also modified.","","","","","","","",
" 3.勞工申請月退休金經審查核可者，首發自收到申請書之次月起核發至當季止，嗣後定期於每年2月、5月、 ","","","","","","",,,,,,,,,
"    8月、11 月按季續發。 ","","","","","","","  3.Labor to apply for monthly pension was approved for the first time, since receipt of the application for the  following month","","","","","","","",
" 4.本表月退休金件數含首發及續發，年度核發件數採10至12月之合計值，首發之年度核發件數為全年累計數。 ","","","","","","","     until issued to the quarter ended, after a regular basis every February, May, August, November quarterly payment.","","","","","","","",
" 5.103年1月17日修正生效之勞工退休金條例，提繳部分將本國人之外國、大陸、及港澳地區配偶依法在台工作 ","","","","","","","  4.The cases of monthly pension payments include first issue and following issue. The total cases are calculated from Oct. to Dec.,","","","","","","","",
"    者及自營作業者納入提繳對象；其中自營作業者只計人數不計單位數。核發部分包含未滿60歲喪失工作能 ","","","","","","","     and the cases of first issue are calculated for the whole year.","","","","","","","",
"    力，符合請領條件之勞工得提前領取退休金資料。 ","","","","","","","  5.The newly amended and effective Labor Pension Act of January 17, 2014, includes spouses of Taiwan nationals from China,","","","","","","","",
" 附　　註： (1)家數提繳率＝(提繳事業單位家數／勞工保險適用勞基法事業單位數) ×１００。 ","","","","","","","     Hong Kong, Macau and other foreign countries who are legally working or are self-employed in Taiwan as contributors to the","","","","","","","",
" (2)人數提繳率＝(提繳人數／勞工保險適用勞基法受僱人數) ×１００。 ","","","","","","","     pension plan. Self-employed spouses are calculated by the number of persons and not by the number of business units. Pension","","","","","","","",
,,,,,,,"     payment includes those under 60 who have lost the capacity to work and met the conditions for early pension payment.","","","","","","","",
,,,,,,,"  Remark： (1)Rate of contributing unit = ( Unit of contribution /  the insured establishments of Labor Insurance covered by Labor","","","","","","","",
,,,,,,,"      Standards Act ) × 100","","","","","","","",
,,,,,,,"  (2)Rate of contributing person = ( Person of contribution / the insured paid employees of Labor Insurance covered by Labor ˉ","","","","","","","",
,,,,,,,"      Standards Act) × 100","","","","","","","",
" ","","   -124-","","","","","","","","   -125-","","","","",
