" 　彰 化 縣　Changhwa County","180","122156","1","983","0","0","13","8250","21","5739","6","1086","50","27018","7","5919","49","51795","17","13171","16","8195",
" 　南 投 縣　Nantou County","124","62725","1","2540","0","0","7","1500","10","2327","8","574","31","11840","5","2977","36","28525","10","5406","16","7036",
" 　雲 林 縣　Yunlin County","187","85111","1","5076","0","0","18","3644","15","2887","7","1025","51","16815","11","5069","40","33064","15","8816","29","8715",
" 　嘉 義 縣　Chiayi County","111","50210","1","1896","0","0","6","2826","11","1276","3","1443","21","12176","6","2673","36","18200","10","6287","17","3433",
" 　屏 東 縣　Pingtung County","149","98616","1","2814","0","0","13","2907","16","7785","12","2192","46","29580","4","1287","33","37895","9","5183","15","8973",
" 　臺 東 縣　Taitung County","67","17758","1","420","0","0","2","633","6","361","2","126","23","4276","2","631","20","6958","7","3226","4","1127",
" 　花 蓮 縣　Hwalien County","121","50063","1","1510","0","0","7","3140","13","2081","5","829","32","14711","3","680","33","19678","10","3629","17","3805",
" 　澎 湖 縣　Penghu County","22","7778","1","3014","0","0","2","391","1","30","1","56","6","1161","0","0","6","1680","2","1204","3","242",
" 　基 隆 市　Keelung City","164","82554","1","842","0","0","9","3918","17","6076","7","745","35","16297","1","660","55","37186","16","8099","23","8731",
" 　新 竹 市　Hsinchu City","151","68084","1","1417","0","0","7","4611","14","3940","4","764","44","17717","2","243","47","27414","13","5090","19","6888",
" 　嘉 義 市　Chiayi City","106","50998","1","1944","0","0","10","3616","11","2664","3","373","25","14278","3","929","33","18619","7","3107","13","5468",
" 　金 門 縣　Kinmen County","17","4241","1","426","0","0","0","0","0","0","0","0","4","866","0","0","6","1802","5","1110","1","37",
" 　連 江 縣　Lienchiang County","1","119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","119","0","0",
" 　加工出口區","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
" 　Export Processing Zones","","","","","","","","","","",,,,,,,,,,,,,
" 　科學工業園區","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
" 　Science Parks","","","","","","","","","","",,,,,,,,,,,,,
"  資料來源："," 勞動部勞動關係司。","","","","","","","","","","  Source：","  The Department of Employment Relations, MOL.","","","","","","","","","","",
"  說　　明："," 依據「中華民國職業標準分類（第6次修訂）」編製。  ˉ","","","","","","","","","","  Note：","  Data series were classified refer to Standard Occupational Classification System of R.O.C, Rev.6.","","","","","","","","","","",
"","","","","    -50-","","","","","","","","","","","","    -51-","","","","","","",
