" 表 4-9 育嬰留職停薪津貼核付情形－按保險類別及性別分 ","","","","","","",""," Table 4-9 Approval for Payment of Parental Leave Allowance","","","","","",""," 表 4-9 育嬰留職停薪津貼核付情形－按保險類別及性別分(續) ","","","","","","",""," Table 4-9 Approval for Payment of Parental Leave Allowance","","","","","","",
" 　　  1月 　　 Jan. ","6718","1058","5660","37512","6009","31503","672784","6236","1014","5222","34151","5703","28448","621073"," 　　  1月 　　 Jan. ","447","38","409","3081","237","2844","48187","35","6","29","280","69","211","3524",
" 　　  2月 　　 Feb. ","5311","750","4561","33175","5392","27783","594818","4731","691","4040","30465","5121","25344","554114"," 　　  2月 　　 Feb. ","535","41","494","2420","178","2242","37196","45","18","27","290","93","197","3508",
" 　　  3月 　　 Mar. ","11042","1911","9131","44156","6792","37364","801860","10260","1832","8428","40968","6488","34480","754055"," 　　  3月 　　 Mar. ","750","68","682","2929","226","2703","44579","32","11","21","259","78","181","3227",
" 　　  4月 　　 Apr. ","8422","1590","6832","40689","6875","33814","743626","7971","1536","6435","37659","6582","31077","697163"," 　　  4月 　　 Apr. ","406","36","370","2783","209","2574","43508","45","18","27","247","84","163","2956",
" 　　  5月 　　 May ","7958","1399","6559","42985","7238","35747","790487","7532","1364","6168","39826","6938","32888","742367"," 　　  5月 　　 May ","413","32","381","2958","234","2724","45661","13","3","10","201","66","135","2458",
" 　　  6月 　　 June ","7792","1355","6437","44348","7608","36740","818774","7383","1294","6089","41222","7270","33952","772861"," 　　  6月 　　 June ","353","42","311","2819","242","2577","42419","56","19","37","307","96","211","3494",
" 　　  7月 　　 July ","7782","1369","6413","43066","7615","35451","801073","7434","1320","6114","40471","7322","33149","764667"," 　　  7月 　　 July ","314","42","272","2335","216","2119","33432","34","7","27","260","77","183","2975",
" 　　  8月 　　 Aug. ","8678","1411","7267","45059","7974","37085","838589","7849","1317","6532","42442","7664","34778","800688"," 　　  8月 　　 Aug. ","793","88","705","2396","258","2138","35381","36","6","30","221","52","169","2520",
" 　　  9月 　　 Sept. ","7078","1212","5866","40593","7191","33402","747561","6268","1116","5152","37216","6807","30409","698680"," 　　  9月 　　 Sept. ","733","71","662","3093","308","2785","45642","77","25","52","284","76","208","3240",
" 　　 10月 　　 Oct. ","7847","1395","6452","44210","7514","36696","821884","7371","1338","6033","40929","7112","33817","771987"," 　　 10月 　　 Oct. ","407","39","368","2964","314","2650","46241","69","18","51","317","88","229","3657",
" 　　 11月 　　 Nov. ","6937","1176","5761","40889","7129","33760","756345","6461","1133","5328","37517","6754","30763","704025"," 　　 11月 　　 Nov. ","417","25","392","3049","289","2760","48599","59","18","41","323","86","237","3721",
" 　　 12月 　　 Dec. ","6703","1010","5693","42486","6915","35571","779577","6159","954","5205","38942","6510","32432","725824"," 　　 12月 　　 Dec. ","468","28","440","3157","279","2878","49226","76","28","48","387","126","261","4526",
" 資料來源： 勞動部勞工保險局、臺灣銀行。 ","","","","","",""," Source：  Bureau of Labor Insurance, MOL., Bank of Taiwan.","","","","","","","",,,,,,,,,,,,,,,,
" 說　　明： 1.依據就業保險法，勞工育嬰留職停薪津貼，以被保險人育嬰留職停薪之當月起前6個月平均月投保薪資60％ ","","","","","",""," Note：  1.According to the Employment Insurance Act,  parental leave allowance should be 60% of the insured person's average insured","","","","","","","",,,,,,,,,,,,,,,,
"   計算，於被保險人育嬰留職停薪期間，按月發給津貼，每一子女合計最長發給6個月，本項津貼自98年5月1日 ","","","","","","","     monthly salary in the six months right before the parental leave without pay takes effect. An insured person on parental leave","","","","","","","",,,,,,,,,,,,,,,,
,,,,,,,"     without pay shall be given an allowance for up to six months per child. The parental leave allowance is effective as of","","","","","","","",,,,,,,,,,,,,,,,
"   起施行。 ","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
" 2.公教人員保險法之育嬰留職停薪津貼自98年8月1日起施行。 ","","","","","","","     May 1st, 2009.","","","","","","","",,,,,,,,,,,,,,,,
" 3.軍人保險條例之育嬰留職停薪津貼自99年5月14日起施行。 ","","","","","","","  2.Parental leave allowance of the insurance program for civil servants and teachers is effective as of August 1st, 2009.","","","","","","","",,,,,,,,,,,,,,,,
" 4.依104年5月14日令修正發布「就業保險法施行細則」，將育嬰應留職停薪的發放方式修正為按月於期初發給 ","","","","","","","  3.Parental leave allowance of the insurance program for military personnel is effective as of May 14, 2010.","","","","","","","",,,,,,,,,,,,,,,,
"   ；未滿一個月者，以一個月計。 ","","","","","","","  4.The Enforcement Rules of Labor Insurance Act was promulgated on May 14, 2015, to amend payment of parental-leave-without-","","","","","","","",,,,,,,,,,,,,,,,
,,,,,,,"     pay allowance to preliminary monthly payment; leaves falling short of one month is calculated as one month.","","","","","","","",,,,,,,,,,,,,,,,
" ","","   -102-","","","","","","","","   -103-","","","",""," ","","   -104-","","","","","","","","   -105-","","","","",
