" 　高　雄　市"," Kaohsiung City","59752","1106775","15142","325733","35606","314634","1219","30891","872","34342"," 　高　雄　市"," Kaohsiung City","482","1303","9","530","537","319040","7","33108","5878","47194",
" 　宜　蘭　縣"," Yilan County","6032","154323","1636","27121","2637","22116","210","5429","240","8286"," 　宜　蘭　縣"," Yilan County","417","1325","4","238","177","66237","2","18414","709","5157",
" 　新　竹　縣"," Hsinchu County","9762","279675","2938","152640","5299","68260","238","10504","227","6295"," 　新　竹　縣"," Hsinchu County","13","39","3","9","105","33928","0","0","939","8000",
" 　苗　栗　縣"," Miaoli County","7464","156556","2856","60896","3191","27564","199","4786","295","7142"," 　苗　栗　縣"," Miaoli County","11","44","0","0","110","41115","2","7794","800","7215",
" 　彰　化　縣"," Changhwa County","28610","435246","13541","193938","11906","79246","456","14784","445","12969"," 　彰　化　縣"," Changhwa County","18","41","8","271","169","99890","1","16494","2066","17613",
" 　南　投　縣"," Nantou County","5841","129504","1783","30720","2580","21099","193","3970","340","8292"," 　南　投　縣"," Nantou County","1","4","3","100","116","53699","1","4391","824","7229",
" 　雲　林　縣"," Yunlin County","7242","215109","2449","60111","3067","25003","230","5073","361","11213"," 　雲　林　縣"," Yunlin County","31","58","4","105","174","74320","1","31642","925","7584",
" 　嘉　義　縣"," Chiayi County","5153","112177","1877","36739","2264","20593","163","7377","265","7045"," 　嘉　義　縣"," Chiayi County","8","18","4","101","69","19002","1","18576","502","2726",
" 　屏　東　縣"," Pingtung County","8730","207879","2225","34014","4349","32917","395","5904","443","11875"," 　屏　東　縣"," Pingtung County","51","124","6","85","143","91728","5","19720","1113","11512",
" 　臺　東　縣"," Taitung County","2823","43473","585","4002","1363","8985","122","3960","227","5033"," 　臺　東　縣"," Taitung County","67","123","0","0","62","15817","3","3595","394","1958",
" 　花　蓮　縣"," Hwalien County","5233","92084","1338","13734","2665","19377","163","8170","293","8022"," 　花　蓮　縣"," Hwalien County","43","105","6","301","107","37315","1","1897","617","3163",
" 　澎　湖　縣"," Penghu County","1125","29843","268","1721","405","2481","28","558","119","2747"," 　澎　湖　縣"," Penghu County","177","362","0","0","18","5950","1","15249","109","775",
" 　基　隆　市"," Keelung City","4797","107913","1161","16393","2600","17349","123","3885","144","5585"," 　基　隆　市"," Keelung City","45","112","0","0","153","58902","1","1728","570","3959",
" 　新　竹　市"," Hsinchu City","9894","310641","2514","161037","5674","73560","263","6375","149","10219"," 　新　竹　市"," Hsinchu City","25","64","4","65","141","44432","1","7142","1123","7747",
" 　嘉　義　市"," Chiayi City","5452","116672","1107","14208","3116","21811","128","3353","103","4509"," 　嘉　義　市"," Chiayi City","0","0","2","52","141","64379","0","0","855","8360",
" 　金　門　縣"," Kinmen County","1016","20341","318","3749","458","3037","25","313","96","3489"," 　金　門　縣"," Kinmen County","13","25","0","0","16","3972","1","5275","89","481",
" 　連　江　縣"," Lienchiang County","196","2564","89","605","37","155","4","21","45","721"," 　連　江　縣"," Lienchiang County","5","12","0","0","2","592","1","383","13","75",
"  資料來源："," 勞動部勞工保險局。","","","",""," Source：  Bureau of Labor Insurance, MOL.","","","","","",,,,,,,,,,,,,
"","","","  -152-","","","","","   -153-","","","","","","","  -154-","","","","","   -155-","","","",
