""," pneumonia","","","","","","","",,,,,,,,,,,,
,,,,,,,,,"4","2   (2)","1","6","2   (2)  ˉ","0","4","   (4)  ˉ","3","1   (1)  ˉ","0",
" 礦工塵肺症及其併發症"," Coal worker pneumoconiosis","10","198  (34)  ˉ","2","6","167","  (28)","2",,,,,,,,,,,,
""," and its complications","","","","","","","",,,,,,,,,,,,
" 矽肺症及其併發症"," Silicosis and its complications","1","2   (1)  ˉ","0","0","5","   (1)","0","14","0","0","3","1   (1)  ˉ","0","10","  (10)  ˉ","10","0","0",
" 石綿肺症及其併發症"," Pulmonary asbestosis and its","1","0","0","3","1","   (1)","0","1","1   (1)","0","1","1   (1)  ˉ","0","1","   (1)  ˉ","0","1   (1)  ˉ","0",
""," complications","","","","","","","",,,,,,,,,,,,
" 職業性皮膚病"," Skin diseases related to","9","0","0","12","0","0","0","7","147  (20)","3","3","127  (15)  ˉ","1","106","  (28)  ˉ","10","96  (18)  ˉ","0",
""," occupation","","","","","","","",,,,,,,,,,,,
" 職業相關癌症"," Cancers related to occupation","4","0","2","4","0","0","0","1","6   (3)","0","2","3   (1)  ˉ","1","12","   (8)  ˉ","2","10   (6)  ˉ","0",
" 其他可歸因於職業因素者"," Others","10","3   (3)  ˉ","1","4","3","   (3)","3","0","3   (2)","0","0","0","1","0","0","0","0","0",
" 腦心血管疾病"," Brain and cardiovascular","28","26  (26)  ˉ","38","20","16","  (16)","32","3","0","0","7","0","0","8","   (8)  ˉ","8","0","0",
""," diseases","","","","","","","",,,,,,,,,,,,
" 精神疾病"," Mental diseases","0","1   (1)  ˉ","2","2","1","   (1)","0","5","4   (4)","2","89","41  (40)  ˉ","16","11","  (10)  ˉ","4","4   (3)  ˉ","3",
,,,,,,,,,"5","2   (2)","0","16","0","2","11","  (11)  ˉ","10","0","1",
"  資料來源："," 勞動部勞工保險局、勞動及職業安全衛生研究所。","","","","","","","",,,,,,,,,,,,
"  說　　明："," 1.括弧()內數字係不含被保險人離職退保後，經診斷確定罹患職業病者。  ˉ","","","","","","","",,,,,,,,,,,,
""," 2.本表含98年1月1日勞工保險條例修正施行後勞保年金之職業傷病失能補償一次金及職業災害死亡補償一次","","","","","","","","28","20  (19)","19","36","21  (21)  ˉ","26","68","  (68)  ˉ","36","17  (17)  ˉ","15",
"","    金人數。","","","","","","","",,,,,,,,,,,,
,,,,,,,,,"0","1   (1)","0","1","1   (1)  ˉ","1","6","   (6)  ˉ","2","2   (2)  ˉ","2",
,,,,,,,,," Source：  Bureau of Labor Insurance、Institute of Labor, Occupational Safety and Health, MOL.","","","","","","","","","","",
"","   -206-","","","","","","","",,,,,,,,,,,,
" Note：  1.Figures in the parenthesis exclude the coal workers suffer from occupational diseases who had out of job.","","","","","","","","","","",
"  2.The data include occupational injury or disease disability compensation and occupational accident compensation after the","","","","","","","","","","",
"     last amended labor Insurance on Jan. 1, 2009.","","","","","","","","","","",
"","","","","     -207-","","","","","","",
