" 表 6-10 勞工保險實計保險給付(一次給付)－按給付內容及給付種類分 ","","","","","","","  Table 6-10 Real Benefit Payments of Labor Insurance by Type of Benefit","","","","","","",""," 表 6-10 勞工保險實計保險給付(一次給付)－按給付內容及給付種類分(續) ","","","","","","","  Table 6-10 Real Benefit Payments of Labor Insurance by Type of Benefit","","","","","","","",
,,,,,,,"","","  (Lump Sum Benefit Payments)","","","","","",,,,,,,,"","","  (Lump Sum Benefit Payments) (Cont.)","","","","","",
"  70年  1981 ","27016035","11626083","256568","4622664","20075","575950","236493","4046714","150181","903593","47596","142938","5968","318598","  70年  1981 ","15158","1615241","37665","1642293","0","0","26759467","7003419","214838","2966780","26544629","4036639","0","0",
"  71年  1982 ","30113350","15024701","278405","5832179","21467","645426","256938","5186753","155288","1064137","57337","191839","6209","379271","  71年  1982 ","19136","2306367","40435","1890566","0","0","29834945","9192522","253417","3863386","29581528","5329136","0","0",
"  72年  1983 ","32350354","17799425","296730","7042754","23666","716798","273064","6325957","158720","1235559","68200","249623","6973","457240","  72年  1983 ","19545","2931797","43292","2168536","0","0","32053624","10756670","273648","4647372","31779976","6109299","0","0",
"  73年  1984 ","36583405","22283706","331084","8491364","26734","1018565","304350","7472799","168821","1605342","87958","337501","8435","601590","  73年  1984 ","19630","3084010","46240","2862921","0","0","36252321","13792342","319980","6105013","35932341","7687329","0","0",
"  74年  1985 ","40554648","28200943","373271","10253804","29367","1087258","343904","9166546","171819","1862738","116587","465208","9731","821449","  74年  1985 ","24545","3757409","50589","3347000","0","0","40181377","17947139","391691","8059691","39789686","9887448","0","0",
"  75年  1986 ","42267120","30920294","402924","12166630","33087","1195508","369837","10971122","170668","1968917","138620","582890","10561","818727","  75年  1986 ","27911","4978953","55164","3817142","0","0","41864196","18753665","400819","8359522","41463377","10394143","0","0",
"  76年  1987 ","52851053","38435166","446415","13631962","37428","1400992","408987","12230970","187081","2367894","163292","646812","11986","972164","  76年  1987 ","24477","5150042","59579","4495051","0","0","52404638","24803204","520177","10722724","51884461","14080480","0","0",
"  77年  1988 ","50135154","42446510","495886","16808222","36196","1459630","459690","15348592","217662","3056971","174609","650963","11592","917238","  77年  1988 ","25841","6679936","66182","5503114","0","0","49639268","25638287","589719","11870583","49049549","13767704","0","0",
"  78年  1989 ","72921823","53488063","509807","20510250","34525","1645367","475282","18864883","223707","3650756","179778","706789","11854","975563","  78年  1989 ","32536","8025284","61932","7151858","0","0","72412016","32977813","662273","13091744","71749743","19886070","0","0",
"  79年  1990 ","59701501","56667223","544448","25063722","32586","1713654","511862","23350067","251012","4643707","190191","790731","11949","1054928","  79年  1990 ","35209","9875556","56087","8698800","0","0","59157053","31603501","653150","13926396","58503903","17677105","0","0",
"  80年  1991 ","63404375","65808939","601221","32653839","35633","1917161","565588","30736678","255841","5325912","225924","959602","14058","1371922","  80年  1991 ","41672","14534229","63726","10462174","0","0","62803154","33155099","617807","14269713","62185347","18885386","0","0",
"  81年  1992 ","118835141","96502092","664698","34201068","34056","1968143","630642","32232925","292497","6296706","240278","1066715","15347","1566097","  81年  1992 ","34594","12916279","81982","12355272","0","0","118170443","62301024","739216","18016702","117431227","44284321","0","0",
"  82年  1993 ","110611851","103241626","712953","43157089","32585","2188435","680368","40968654","320283","7561189","250607","1218343","16607","1934190","  82年  1993 ","40734","17591244","84722","14852124","0","0","109898898","60084537","766320","19144669","109132578","40939868","0","0",
"  83年  1994 ","126358657","128346763","740725","55244294","31520","2439101","709205","52805192","326424","8240826","257447","1380528","17297","2252579","  83年  1994 ","52219","26284371","87338","17085991","0","0","125617932","73102469","829850","21717373","124788082","51385096","0","0",
"  84年  1995 ","57903636","138442672","733513","92360494","28849","2526657","704664","89833836","250307","5391278","168224","1225742","19391","3336340","  84年  1995 ","206369","64277837","89222","18129298","0","0","57170123","46082178","668104","20577382","56502019","25504796","0","0",
"  85年  1996 ","562285","68898093","549369","68883602","29716","2820474","519653","66063128","180748","3557150","149882","1329078","17982","3654279","  85年  1996 ","108692","41746762","92065","18596334","0","0","12916","14491","207","6695","12709","7797","0","0",
"  86年  1997 ","540870","71811502","525456","71795330","33179","3219696","492277","68575634","166681","3479662","153076","1493933","18757","3986237","  86年  1997 ","94786","43804614","92156","19030884","0","0","15414","16172","231","7246","2554","2010","12629","6916",
"  87年  1998 ","626074","89249883","522573","86280847","38217","3880598","484356","82400248","131985","2921526","165310","1801762","33812","8850275","  87年  1998 ","98520","53151800","92946","19555483","0","0","103501","2969037","72438","2954417","-6806","-3854","37869","18474",
"  88年  1999 ","689926","102437111","603856","101428197","62572","8085019","541284","93343178","134578","3131457","179497","2273835","52296","13019655","  88年  1999 ","103187","62340483","94827","20146397","39471","516371","86070","1008914","23741","960168","-8418","-4595","70747","53342",
"  89年  2000 ","777038","107018651","671683","100882032","56927","5232131","614756","95649901","141189","3366031","189350","2625701","45651","11123781","  89年  2000 ","92863","61129249","97403","20972751","105227","1664519","105355","6136619","22084","945528","-26039","5103145","109310","87946",
"  90年  2001 ","1125901","129838422","1055243","129371377","52589","4398343","1002654","124973034","120298","2934533","193636","2591119","42470","10956959","  90年  2001 ","115275","84137766","97713","20925560","485851","7825440","70658","467046","10016","418907","0","1588","60642","46551",
"  91年  2002 ","2035642","168811914","1186303","166941630","50075","4178491","1136228","162763139","108593","2689447","189226","2481261","42007","10246352","  91年  2002 ","136649","120668543","98182","20651908","611646","10204120","849339","1870284","29128","1143035","696297","625725","123914","101523",
"  92年  2003 ","1182692","139583169","525320","137798924","50018","3844450","475302","133954474","99731","2492707","176077","2450510","36191","8771951","  92年  2003 ","113968","103200785","99353","20882972","0","0","657372","1784244","29031","1203639","475632","451457","152709","129148",
"  93年  2004 ","1491592","148899135","555565","147071314","53893","3944151","501672","143127163","99595","2514024","192909","2681654","36623","8682816","  93年  2004 ","121666","111330077","104772","21862742","0","0","936027","1827821","22620","961029","702706","686837","210701","179955",
"  94年  2005 ","1346899","187880522","587003","185965543","52581","3952029","534422","182013515","100658","2573172","188038","2715772","34877","8413751","  94年  2005 ","155151","149647800","108279","22615048","0","0","759896","1914979","26707","1209956","510761","513991","222428","191031",
"  95年  2006 ","1297393","173553028","571320","171672482","56364","4086891","514956","167585591","101386","2642336","195760","2934663","35090","8929945","  95年  2006 ","131363","134399188","107721","22766349","0","0","726073","1880547","28082","1199395","468876","475670","229115","205482",
"  96年  2007 ","1949517","193521329","601006","190280831","56284","3977359","544722","186303471","106339","2816589","207089","3046989","34451","8569992","  96年  2007 ","142053","152534198","111074","23313063","0","0","1348511","3240498","46216","1972548","889800","884470","412495","383480",
"  97年  2008 ","2229909","358294534","770197","356287174","60083","4101700","710114","352185474","110374","2968860","217821","3326565","33873","8623458","  97年  2008 ","293635","317143713","114494","24224578","0","0","1459712","2007360","14877","633274","1143375","1073987","301460","300098",
"  98年  2009 ","1526630","134089856","625579","131189378","58075","3972418","567504","127216960","114538","3083185","212477","3440002","31366","7929429","  98年  2009 ","153058","94185468","114140","22551294","0","0","901051","2900479","51819","2086540","514606","481931","334626","332007",
"  99年  2010 ","2323492","115924594","553057","112789935","61869","4193686","491188","108596250","102317","2755303","215495","3678508","30053","7382597","  99年  2010 ","88431","76438196","116761","22535333","0","0","1770435","3134658","33326","1500479","1412401","1297189","324708","336990",
" 100年  2011 ","2015935","117850743","577096","114924233","62625","4448268","514471","110475966","123797","3355471","217104","3865797","28864","7145311"," 100年  2011 ","85334","77279364","121997","23278290","0","0","1438839","2926510","34953","1615356","1124742","1029620","279144","281534",
" 101年  2012 ","2542277","218852083","674782","215487289","62486","4459158","612296","211028131","147206","4031613","216518","3894128","29183","7545554"," 101年  2012 ","157794","176767803","124081","23248191","0","0","1867495","3364794","34613","1630960","1556996","1457748","275886","276086",
" 102年  2013 ","1829974","198346605","634445","195659624","59051","4100661","575394","191558963","139165","3891028","199496","3535433","27555","7115478"," 102年  2013 ","144809","158882926","123420","22234759","0","0","1195529","2686981","32584","1546645","882156","851513","280789","288823",
" 103年  2014 ","2043545","141489449","588089","138579085","57384","3917462","530705","134661623","145370","6136700","191566","3395961","25057","6594313"," 103年  2014 ","97467","100151331","128629","22300779","0","0","1455456","2910364","31447","1553683","1166560","1108361","257449","248321",
" 104年  2015 ","2088690","149258112","587934","146245516","55105","3742068","532829","142503448","148859","8629259","184986","3357937","22027","5661385"," 104年  2015 ","102899","106587162","129163","22009774","0","0","1500756","3012596","31145","1590094","1214226","1158925","255385","263576",
" 105年  2016 ","2132142","162523211","597327","159747284","52135","3580741","545192","156166543","145934","8629649","180986","3321385","20407","5427431"," 105年  2016 ","114535","119636041","135465","22732778","0","0","1534815","2775927","30457","1323009","1281907","1225660","222451","227257",
" 資料來源： 勞動部勞工保險局。 ","","","","","","","  Source： Bureau of Labor Insurance, MOL.","","","","","","",""," 附　　註： 失業給付於民國88年開辦，92年起改列就業保險給付項目。 ","","","","","","","  Remark： "Unemployment benefits" implemented in 1999 and had been included in the coverage of Employment Insurance from 2003.","","","","","","","",
" 說　　明： 1.本表失能給付含98年1月1日勞工保險條例修正施行後之失能差額金。 ","","","","","","","  Note： 1.The data of disability benefit payments include disability difference benefit after the last amended Labor Insurance on Jan. 1,2009.","","","","","","",""," 說　　明： 4.本表死亡給付含失蹤津貼。 ","","","","","","","  Note： 4.The data of death benefits include the missing allowance.","","","","","","","",
" 2.本表老年給付含98年1月1日勞工保險條例修正施行後之老年一次金與老年差額金。老年一次金係指年滿60 ","","","","","","","  2.The data of old-age benefit payments include old-age lump sum benefit and old-age difference benefit after the last amended","","","","","","",""," 5.84年3月份以後之職業災害醫療給付係指健保開辦後之職業災害醫療給付數。 ","","","","","","","  5.The data of medical benefits from March 1995 indicate the occupational accident medical care benefits after the establishment","","","","","","","",
"    歲，保險年資合計未滿15年，並辦理離職退保者得請領之。 ","","","","","","","     Labor Insurance on Jan. 1,2009. The insured person who is at least 60 years of age and resigns and whose insurance coverage","","","","","","",""," 6.同表6-9說明3。 ","","","","","","","     of National Health Insurance.","","","","","","","",
,,,,,,,,,,,,,,,,,,,,,,"  6.See note 3 of table 6-9.","","","","","","","",
" 3.差額金係指被保險人於勞保年金開辦前有勞保年資，退保後於領取失能年金或老年年金期間死亡者，遺屬 ","","","","","","","     year has not reached  fifteen may claim for Old-Age lump sum benefit.","","","","","","","",,,,,,,,,,,,,,,,
"    選擇一次請領失能給付或老年給付，扣除已領年金給付總額之差額。 ","","","","","","","  3.The difference benefits mean the insured person already have insurance coverage years before the implementation of the labor","","","","","","","",,,,,,,,,,,,,,,,
,,,,,,,"     insurance pension scheme and dies during the period of cancelling the insurance, receiving disability pension or old-age pension,","","","","","","","",,,,,,,,,,,,,,,,
,,,,,,,"     they could also choose to claim a lump sum disability benefit or one time old-age benefit after deducting the amount of pension","","","","","","","",,,,,,,,,,,,,,,,
,,,,,,,"     already received.","","","","","","","",,,,,,,,,,,,,,,,
" ","","   -172-","","","","","","","","   -173-","","","",""," ","","   -174-","","","","","","","","   -175-","","","","",
