" 表 6-15 勞工保險職業災害保險給付千人率 ","","","","","","","","","","","  Table 6-15 Occupational Injury Incidence Rate under Labor Insurance","","","","","","","","","","","","",""," 表 6-15 勞工保險職業災害保險給付千人率(續1) ","","","","","","","","","   Table 6-15 Occupational Injury Incidence Rate under Labor Insurance(Cont.1)","","","","","","",""," 表 6-15 勞工保險職業災害保險給付千人率(續2) ","","","","","","","","","  Table 6-15 Occupational Injury Incidence Rate under Labor Insurance(Cont.2)","","","","","","",""," 表 6-15 勞工保險職業災害保險給付千人率(續3) ","","","","","","","","","  Table 6-15 Occupational Injury Incidence Rate under Labor Insurance(Cont.3)","","","","","","",""," 表 6-15 勞工保險職業災害保險給付千人率(續4完) ","","","","","","","","","  Table 6-15 Occupational Injury Incidence Rate under Labor Insurance(Cont.4)","","","","","","","",
" ","","","","","","","  單位：千人率","","","","","","","","","","","","","","","",""," Unit：0/00"," ","","","","","","","  單位：千人率","","","","","","","",""," Unit：0/00"," ","","","","","","","  單位：千人率","","","","","","","",""," Unit：0/00"," ","","","","","","","  單位：千人率","","","","","","","",""," Unit：0/00"," ","","","","","","","  單位：千人率","","","","","","","",""," Unit：0/00",
"  83年  1994 ","","3.02","","2.401","","0.523","","0.095","","1.703","","0.857","","0.287","","0.559","","18.602","","16.456","","1.717","","0.429","  83年  1994 ","","4.874","","3.763","","1.042","","0.068","1.596","1.35","0.184","0.061","5.84","5.18","0.429","0.231","  83年  1994 ","","1.221","","0.963","","0.216","","0.041","","2.215","","1.83","","0.245","","0.14","  83年  1994 ","","0.169","","0.123","","0.033","","0.013",,,,,,,,,"  83年  1994 ","","0.444","","0.342","","0.075","","0.027",,,,,,,,,
"  84年  1995 ","","2.87","","2.213","","0.574","","0.083","","1.314","","0.641","","0.256","","0.418","","13.588","","10.968","","2.21","","0.409","  84年  1995 ","","4.657","","3.475","","1.127","","0.055","1.737","1.137","0.379","0.221","5.599","4.853","0.538","0.208","  84年  1995 ","","1.285","","0.973","","0.264","","0.048","","1.999","","1.603","","0.282","","0.114","  84年  1995 ","","0.203","","0.146","","0.035","","0.022",,,,,,,,,"  84年  1995 ","","0.442","","0.348","","0.065","","0.029",,,,,,,,,
"  85年  1996 ","","3.063","","2.414","","0.553","","0.095","","1.412","","0.704","","0.287","","0.421","","11.959","","9.887","","1.695","","0.377","  85年  1996 ","","4.805","","3.673","","1.048","","0.084","1.049","0.524","0.36","0.164","6.558","5.748","0.599","0.211","  85年  1996 ","","1.449","","1.133","","0.265","","0.051","","2.13","","1.717","","0.298","","0.114","  85年  1996 ","","0.226","","0.194","","0.022","","0.01","","0.763","","0.626","","0.084","","0.052","  85年  1996 ","","0.577","","0.45","","0.092","","0.035","","0.497","","0.089","","0.275","","0.133",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","0.991","","0.858","","0.107","","0.026",,,,,,,,,,"","0.643","","0.278","","0.269","","0.096",
"  86年  1997 ","","3.401","","2.74","","0.569","","0.093","","1.251","","0.694","","0.243","","0.314","","9.299","","7.652","","1.162","","0.484","  86年  1997 ","","5.245","","4.076","","1.093","","0.076","1.055","0.693","0.264","0.099","7.632","6.775","0.597","0.259","  86年  1997 ","","1.718","","1.409","","0.274","","0.035","","2.591","","2.146","","0.296","","0.149","  86年  1997 ","","0.222","","0.164","","0.036","","0.021","","1.246","","1.049","","0.142","","0.054","  86年  1997 ","","0.728","","0.611","","0.086","","0.032","","0.471","","0.178","","0.187","","0.107",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","1.348","","1.117","","0.193","","0.039",,,,,,,,,,"","0.699","","0.319","","0.302","","0.078",
"  87年  1998 ","","3.789","","3.135","","0.57","","0.084","","1.298","","0.773","","0.213","","0.312","","9.09","","7.205","","1.552","","0.333","  87年  1998 ","","5.638","","4.539","","1.036","","0.063","1.506","1.004","0.301","0.201","9.365","8.38","0.731","0.254","  87年  1998 ","","2.052","","1.709","","0.3","","0.044","","2.754","","2.273","","0.365","","0.117","  87年  1998 ","","0.292","","0.214","","0.067","","0.011",,,,,,,,,"  87年  1998 ","","0.906","","0.759","","0.12","","0.028",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","1.301","","1.115","","0.142","","0.044",,,,,,,,,,"","0.709","","0.293","","0.385","","0.031",
"  88年  1999 ","","4.415","","3.699","","0.631","","0.085","","1.551","","0.962","","0.288","","0.301","","12.386","","9.715","","1.943","","0.729","  88年  1999 ","","6.305","","5.125","","1.102","","0.078","1.572","0.87","0.435","0.268","11.495","10.33","0.962","0.203","  88年  1999 ","","2.61","","2.223","","0.344","","0.043","","3.411","","2.886","","0.433","","0.092","  88年  1999 ","","0.296","","0.23","","0.038","","0.027",,,,,,,,,"  88年  1999 ","","1.246","","1.068","","0.147","","0.03",,,,,,,,,
"  89年  2000 ","","4.965","","4.223","","0.665","","0.077","","1.637","","1.09","","0.264","","0.283","","11.902","","9.185","","2.199","","0.517","  89年  2000 ","","7.07","","5.862","","1.144","","0.063","1.351","0.642","0.608","0.101","13.402","12.144","1.034","0.223","  89年  2000 ","","3.037","","2.609","","0.39","","0.038","","3.651","","3.115","","0.424","","0.112","  89年  2000 ","","0.438","","0.345","","0.074","","0.019",,,,,,,,,"  89年  2000 ","","1.571","","1.37","","0.179","","0.022",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  醫療保健及社會福利服務業","","","",""," 文化、運動休閒服務業","","",,,,,,,,,,"","",""," 公　共　 行　 政　 業","","","","",
"  90年  2001 ","","4.898","","4.212","","0.618","","0.069","","1.634","","1.147","","0.293","","0.194","","8.53","","7.353","","1.176","","0","  90年  2001 ","","6.969","","5.837","","1.065","","0.067","0.958","0.445","0.376","0.137","13.582","12.303","1.069","0.21","  90年  2001 ","","3.248","","2.855","","0.357","","0.036","","3.657","","3.138","","0.436","","0.083","  90年  2001 ","","0.399","","0.299","","0.085","","0.016",,,,,,,,,"  90年  2001 ","","1.63","","1.46","","0.15","","0.019",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  Health care & social welfare services","","","","  Cultural, sporting & recreational services","","","",,,,,,,,,,"","",""," Public administration","","","","",
" ","","","","  總　　　　　　計","","","","","","",""," 農、林、漁、牧業","","","","","","","","  礦業及土石採取業","","","",""," ","","   製　　造　　業","","","","  水  電  燃  氣  業","","","","  營　　造　　業","","","","  批 發 及 零 售 業","",""," ","","   住 宿 及 餐 飲 業","","",""," 運輸、倉儲及通信業","","","","  金 融 及 保 險 業","","","","  不動產及租賃業","",""," ","  專業、科學及技術服務業","","","",""," 教　育　服　務　業","",""," 計"," 傷 病"," 失 能"," 死 亡","  計"," 傷 病"," 失 能"," 死 亡"," ","","",""," 其　他　服　務　業","","","","","  計","","  傷 病","","  失 能","","  死 亡","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""," Injury or","","",""," Injury or","","",,,,,,,,,,,,,,,,,,
" 年　　　　別 ","","","","  Grand total","","","","","","  Agriculture, forestry, fishing & animal husbandry","","","","","","","","","","  Mining & quarrying","","","",""," 年　　　　別 ","","   Manufacturing","","",""," Electricity, gas & water","","","","  Construction","","","","  Trade","",""," 年　　　　別 ","  Accommodation & eating-drinking places","","","","  Transport, storage & communications","","","",""," Finance & insurance","","",""," Real estate & rental & leasing","",""," 年　　　　別 ","  Professional, scientific & technical services","","","",""," Educational services","",""," Total"," sickness"," Disability"," Death"," Total"," sickness"," Disability"," Death"," 年　　　　別 ","","","","  Other services","","","","","  Total","","  Injury or sickness","","  Disability","","  Death","",
" ","  計","","  傷 病","","  失 能","","  死 亡","",""," 計",""," 傷 病",""," 失 能",""," 死 亡","","  計",""," 傷 病",""," 失 能",""," 死 亡"," ","  計","   傷 病","  失 能","  死 亡","  計","  傷 病","  失 能","  死 亡"," 計"," 傷 病"," 失 能"," 死 亡","  計"," 傷 病"," 失 能"," 死 亡"," ","  計","   傷 病","  失 能","  死 亡","  計","  傷 病","  失 能","  死 亡"," 計"," 傷 病"," 失 能"," 死 亡","  計"," 傷 病"," 失 能"," 死 亡"," ","  計","   傷 病","  失 能","  死 亡","  計","  傷 病","  失 能","  死 亡",,,,,,,,," ","  計","","  傷 病","","  失 能","","  死 亡","",,,,,,,,,
" Year ","","","","","","","","","","","  Injury or","","","","","","","",""," Injury or","","","",""," Year ","","  Injury or","","","","  Injury or","","",""," Injury or","","",""," Injury or","",""," Year ","","  Injury or","","","","  Injury or","","",""," Injury or","","",""," Injury or","",""," Year ","","  Injury or","","","","  Injury or","","","0.619","0.565","0.054","0","1.958","1.739","0.193","0.027"," Year ","","","","","","","","","","0.737","","0.458","","0.24","","0.039",
" ","  Total",""," Injury or sickness","","  Disability","","  Death","","  Total","","  sickness","","  Disability","",""," Death",""," Total",""," sickness","  Disability","",""," Death"," ","  Total","  sickness","  Disability","  Death","  Total","  sickness"," Disability","  Death"," Total"," sickness"," Disability"," Death"," Total"," sickness"," Disability"," Death"," ","  Total","  sickness","  Disability","  Death","  Total","  sickness"," Disability","  Death"," Total"," sickness"," Disability"," Death"," Total"," sickness"," Disability"," Death"," ","  Total","  sickness","  Disability","  Death","  Total","  sickness"," Disability","  Death",,,,,,,,," ","  Total","","  Injury or sickness","","  Disability","","  Death","",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.768","0.697","0.059","0.013","1.715","1.564","0.145","0.007",,,,,,,,,,"","0.676","","0.422","","0.208","","0.047",
"  91年  2002 ","4.65","","4.015","","0.57","","0.065","","","1.449","","0.99","","0.242","","0.217","","8.309","","5.865","","1.955","","0.489","  91年  2002 ","6.638","5.593","0.985","0.059","1.279","0.726","0.449","0.104","12.997","11.793","1.016","0.188","3.152","2.745","0.37","0.037","  91年  2002 ","3.083","2.875","0.192","0.015","3.446","2.988","0.37","0.088","0.271","0.181","0.072","0.019","1.16","0.973","0.133","0.053","  91年  2002 ","1.106","0.941","0.134","0.031","0.693","0.532","0.144","0.017","0.677","0.627","0.047","0.004","2.1","1.97","0.097","0.032","  91年  2002 ","","2.024","","1.803","","0.203","","0.018","","0.792","","0.592","","0.146","","0.053",
"  92年  2003 ","4.578","","4.029","","0.499","","0.05","","","1.395","","0.969","","0.248","","0.178","","6.459","","3.492","","2.444","","0.524","  92年  2003 ","6.549","5.618","0.891","0.041","0.693","0.312","0.243","0.139","13.144","12.131","0.838","0.175","3.178","2.828","0.328","0.023","  92年  2003 ","3.304","3.139","0.154","0.012","3.433","3.024","0.337","0.072","0.249","0.221","0.022","0.006","1.273","1.069","0.165","0.038","  92年  2003 ","1.174","1.026","0.129","0.019","0.684","0.525","0.159","0","0.639","0.606","0.033","0","1.91","1.826","0.071","0.013","  92年  2003 ","","1.949","","1.79","","0.143","","0.015","","0.941","","0.624","","0.293","","0.023",
"  93年  2004 ","4.629","","4.136","","0.448","","0.044","","","1.38","","1.043","","0.179","","0.157","","6.051","","5.162","","0.534","","0.356","  93年  2004 ","6.576","5.74","0.806","0.03","1.132","0.707","0.248","0.177","13.511","12.572","0.808","0.131","3.275","2.942","0.306","0.028","  93年  2004 ","3.297","3.127","0.162","0.007","3.628","3.296","0.264","0.068","0.206","0.17","0.033","0.003","1.35","1.214","0.125","0.011","  93年  2004 ","1.231","1.106","0.086","0.039","0.632","0.474","0.135","0.023",,,,,,,,,"  93年  2004 ","","2.099","","1.918","","0.152","","0.029",,,,,,,,,
"  94年  2005 ","4.439","","3.994","","0.399","","0.045","","","1.102","","0.857","","0.138","","0.107","","7.404","","6.075","","1.139","","0.19","  94年  2005 ","6.319","5.532","0.749","0.038","0.889","0.569","0.178","0.142","12.968","12.027","0.769","0.172","3.241","2.972","0.245","0.024","  94年  2005 ","3.381","3.264","0.103","0.014","3.566","3.221","0.265","0.081","0.244","0.238","0.006","0","1.545","1.328","0.113","0.103","  94年  2005 ","1.075","1.014","0.047","0.014","0.528","0.485","0.043","0","0.697","0.676","0.021","0","1.895","1.83","0.052","0.013","  94年  2005 ","","2.103","","1.983","","0.102","","0.019","","0.699","","0.453","","0.199","","0.048",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.73","0.706","0.02","0.003","1.897","1.826","0.072","0",,,,,,,,,,"","0.707","","0.451","","0.218","","0.039",
"  95年  2006 ","4.526","","4.103","","0.386","","0.038","","","1.05","","0.869","","0.115","","0.066","","3.166","","2.771","","0.198","","0.198","  95年  2006 ","6.304","5.552","0.718","0.035","0.851","0.639","0.177","0.035","13.388","12.511","0.715","0.161","3.555","3.259","0.275","0.021","  95年  2006 ","3.665","3.556","0.099","0.01","3.597","3.313","0.221","0.063","0.209","0.189","0.02","0","1.43","1.354","0.076","0","  95年  2006 ","1.211","1.13","0.073","0.008","0.6","0.506","0.088","0.007","0.799","0.764","0.035","0","1.957","1.864","0.086","0.007","  95年  2006 ","","2.222","","2.079","","0.132","","0.012","","0.725","","0.496","","0.176","","0.053",
"  96年  2007 ","4.439","","4.049","","0.356","","0.034","","","1.069","","0.907","","0.112","","0.049","","5.11","","4.497","","0.409","","0.204","  96年  2007 ","6.005","5.351","0.621","0.033","0.67","0.493","0.106","0.07","13.519","12.633","0.765","0.122","3.611","3.338","0.249","0.023","  96年  2007 ","3.674","3.579","0.089","0.006","3.631","3.309","0.267","0.055","0.187","0.173","0.011","0.003","1.351","1.208","0.107","0.036","  96年  2007 ","1.136","1.033","0.087","0.016","0.588","0.532","0.051","0.006","0.767","0.738","0.029","0","2.344","2.292","0.052","0","  96年  2007 ","","2.29","","2.135","","0.146","","0.01","","0.825","","0.623","","0.156","","0.045",
"  97年  2008 ","4.606","   (4.605)  ˉ","4.231","   (4.230)","0.339","   (0.339)  ˉ","0.036","   (0.036) ˉ","","1.258","","1.035","","0.138","","0.085","","5.054","","4.844","","0.211","","0","  97年  2008 ","6.17","5.543","0.593","0.035","1.25","1.007","0.174","0.069","14.063","13.279","0.655","0.13","3.818","3.524","0.276","0.018","  97年  2008 ","3.741","3.645","0.086","0.009","3.791","3.492","0.242","0.056","0.214","0.212","0.003","0","1.451","1.355","0.079","0.017","  97年  2008 ","1.292","1.226","0.056","0.01","0.706","0.633","0.066","0.006",,,,,,,,,"  97年  2008 ","","2.587","","2.41","","0.152","","0.024",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""," 支　援　服　務　業","","","  公共行政及國防；強制性社會安全","","","",,,,,,,,,,""," 藝術、娛樂及休閒服務業","","",""," 其　他　服　務　業","","",
"  98年  2009 ","4.292","   (4.267)  ˉ","3.967","   (3.944)","0.291","   (0.290)  ˉ","0.034","   (0.032) ˉ","","1.486","","1.239","","0.156","","0.092","","7.468","","7.029","","0.439","","0","  98年  2009 ","5.522","4.985","0.509","0.028","0.753","0.548","0.137","0.068","13.625","12.866","0.63","0.128","3.616","3.382","0.212","0.021","  98年  2009 ","4.373","4.251","0.111","0.011","3.661","3.4","0.209","0.052","0.307","0.284","0.017","0.006","1.448","1.343","0.087","0.017","  98年  2009 ","1.262","1.164","0.088","0.01","0.604","0.515","0.074","0.015",,,,,,,,,"  98年  2009 ","","2.549","","2.404","","0.127","","0.019",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""," Support service activities","",""," Public administration & defence; Compulsory social security","","","",,,,,,,,,,"  Arts, entertainment & recreation","","","",""," Other service activities","","",
" ","","","","  總　　　　　　計","","","","","","  農、林、漁、牧業","","","","","","  礦業及土石採取業","","","","","  製　　造　　業","","",""," ","","  電力及燃氣供應業","","",""," 用水供應及污染整治業","","","","  營 建 工 程 業","","","","  批 發 及 零 售 業","",""," ","","   運 輸 及 倉 儲 業","","","","  住 宿 及 餐 飲 業","","","  出版、影音製作、傳播及資通訊服務業","","","","","  金 融 及 保 險 業","",""," ","","   不　動　產　業","","","  專業、科學及技術服務業","","",""," 計"," 傷 病"," 失 能"," 死 亡","  計"," 傷 病"," 失 能"," 死 亡"," ","","   教　　育　　業","","","  醫療保健及社會工作服務業","","",""," 計"," 傷 病"," 失 能"," 死 亡","  計"," 傷 病"," 失 能"," 死 亡",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""," Injury or","","",""," Injury or","","",,,,,,,,,,""," Injury or","","",""," Injury or","","",
" 年　　　　別 ","","","","  Grand total","","","",""," Agriculture, forestry, fishing & animal husbandry","","","","","","","  Mining & quarrying","","","","","  Manufacturing","","",""," 年　　　　別 ",""," Electricity & gas supply","","","  Water supply & remediation activities","","","","","  Construction","","",""," Wholesale & retail trade","",""," 年　　　　別 ",""," Transportation & storage","","","  Accommodation & food service activities","","","","  Information & communication","","","",""," Financial & insurance activities","",""," 年　　　　別 ","","  Real estate activities","","","  Professional, scientific & technical activities","","",""," Total"," sickness"," Disability"," Death"," Total"," sickness"," Disability"," Death"," 年　　　　別 ","","   Education","","","  Human health & social work activities","","",""," Total"," sickness"," Disability"," Death"," Total"," sickness"," Disability"," Death",
" ","  計","","  傷 病","","  失 能","","  死 亡","","  計","","  傷 病","  失 能","  死 亡","","  計","  傷 病","  失 能","","  死 亡","  計","  傷 病","","  失 能","  死 亡"," ","  計","   傷 病","  失 能","  死 亡","  計","  傷 病","  失 能","  死 亡"," 計"," 傷 病"," 失 能"," 死 亡","  計"," 傷 病"," 失 能"," 死 亡"," ","  計","   傷 病","  失 能","  死 亡","  計","  傷 病","  失 能","  死 亡"," 計"," 傷 病"," 失 能"," 死 亡","  計"," 傷 病"," 失 能"," 死 亡"," ","  計","   傷 病","  失 能","  死 亡","  計","  傷 病","  失 能","  死 亡",,,,,,,,," ","  計","   傷 病","  失 能","  死 亡","  計","  傷 病","  失 能","  死 亡",,,,,,,,,
" Year ","","","","","","","","","","","  Injury or","","","","","  Injury or","","","","","  Injury or","","",""," Year ","","  Injury or","","","","  Injury or","","",""," Injury or","","",""," Injury or","",""," Year ","","  Injury or","","","","  Injury or","","",""," Injury or","","",""," Injury or","",""," Year ","","  Injury or","","","","  Injury or","","","2.461","2.326","0.112","0.022","1.008","0.888","0.093","0.027"," Year ","","  Injury or","","","","  Injury or","","","3.55","3.414","0.125","0.011","2.413","2.251","0.147","0.015",
" ","  Total",""," Injury or sickness","","  Disability","","  Death","","  Total","","  sickness"," Disability","  Death","","  Total","  sickness"," Disability","","  Death","  Total","  sickness","","  Disability","  Death"," ","  Total","  sickness","  Disability","  Death","  Total","  sickness"," Disability","  Death"," Total"," sickness"," Disability"," Death"," Total"," sickness"," Disability"," Death"," ","  Total","  sickness","  Disability","  Death","  Total","  sickness"," Disability","  Death"," Total"," sickness"," Disability"," Death"," Total"," sickness"," Disability"," Death"," ","  Total","  sickness","  Disability","  Death","  Total","  sickness"," Disability","  Death",,,,,,,,," ","  Total","  sickness","  Disability","  Death","  Total","  sickness"," Disability","  Death",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.62","2.492","0.104","0.024","1.086","0.859","0.192","0.034",,,,,,,,,,"3.554","3.488","0.055","0.011","2.414","2.249","0.152","0.013",
"  99年  2010 ","4.333","   (4.313)  ˉ","4.014","   (3.996)","0.29","   (0.288)  ˉ","0.03","   (0.029) ˉ","1.432","","1.219","0.138","0.075","","10.159","9.078","0.648","","0.432","5.626","5.087","","0.509","0.029","  99年  2010 ","1.261","0.976","0.163","0.122","6.923","6.021","0.649","0.252","13.559","12.862","0.6","0.097","3.549","3.326","0.208","0.015","  99年  2010 ","4.473","4.147","0.269","0.057","4.403","4.299","0.088","0.016","0.574","0.526","0.038","0.009","0.277","0.252","0.025","0","  99年  2010 ","1.251","1.189","0.062","0","1.645","1.576","0.066","0.003",,,,,,,,,"  99年  2010 ","0.65","0.599","0.046","0.005","0.692","0.665","0.025","0.003",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.581","2.417","0.135","0.029","1.027","0.819","0.18","0.029",,,,,,,,,,"2.905","2.787","0.097","0.022","2.362","2.18","0.174","0.008",
" 100年  2011 ","4.176","   (4.153)  ˉ","3.846","   (3.829)","0.297","   (0.293)  ˉ","0.033","   (0.031) ˉ","1.478","","1.262","0.153","0.063","","6.796","5.309","1.062","","0.425","5.233","4.686","","0.511","0.036"," 100年  2011 ","0.809","0.688","0.081","0.04","6.851","6.275","0.52","0.056","13.475","12.73","0.62","0.125","3.421","3.174","0.229","0.018"," 100年  2011 ","4.423","4.126","0.243","0.054","4.241","4.127","0.104","0.01","0.503","0.476","0.018","0.009","0.3","0.278","0.022","0"," 100年  2011 ","1.123","1.041","0.074","0.008","1.506","1.4","0.078","0.027","2.705","2.495","0.17","0.04","0.879","0.769","0.095","0.015"," 100年  2011 ","0.724","0.624","0.1","0","0.812","0.789","0.024","0","2.891","2.759","0.12","0.011","2.585","2.43","0.136","0.019",
