" ","  表 15-2 主要國家勞動力參與率","","","","","","","","","","","","  Table 15-2 Labor Force Participation Rates in Major Countries","","","","","","","","",
"  98年平均  Avg. 2009 ","57.9","66.4","49.62","60.8","73.1","49.2","65.4","","76.3","","55.2","","60.8","69.4","53.2","59.9","72","48.5","65.4","72","59.2",
"  99年平均  Avg. 2010 ","58.07","66.51","49.89","61","73","49.4","66.2","","76.5","","56.5","","59.6","68.5","51.9","59.6","71.6","48.5","64.7","71.2","58.6",
" 100年平均  Avg. 2011 ","58.17","66.67","49.97","61.1","73.1","49.7","66.1","","75.6","","57","","60.1","68.4","53","59.3","71.1","48.2","64.1","70.5","58.1",
" 101年平均  Avg. 2012 ","58.35","66.83","50.19","61.3","73.3","49.9","66.6","","76","","57.7","","60.5","68.7","53.5","59.1","70.8","48.2","63.7","70.2","57.7",
" 102年平均  Avg. 2013 ","58.43","66.74","50.46","61.5","73.2","50.2","66.7","","75.8","","58.1","","61.2","69.2","54.5","59.3","70.5","48.9","63.2","69.7","57.2",
" 103年平均  Avg. 2014 ","58.54","66.78","50.64","62.4","74","51.3","67","","75.9","","58.6","","61.1","68.8","54.5","59.4","70.4","49.2","62.9","69.2","57",
" 104年平均  Avg. 2015 ","58.65","66.91","50.74","62.6","73.8","51.8","68.3","","76.7","","60.4","","61.1","68.8","54.7","59.6","70.3","49.6","62.7","69.1","56.7",
" 105年平均  Avg. 2016 ","58.75","67.05","50.8","62.8","73.9","52.1","68","","76.2","","60.4","","61.1","68.6","54.8","60","70.4","50.3","62.8","69.2","56.8",
" 資料來源： 我國--行政院主計總處「人力資源調查統計年報」，日本--「勞動力調查年報」，韓國統計資料庫 ","","","","","","","","","",""," Source：","  R.O.C—Yearbook of Manpower Survey Statistics. DGBAS, EY.","","","","","","","","","",
" http://kosis.kr/eng/，香港--「Monthly Statistics of Hong Kong」 、「香港統計年刊」， ","","","","","","","","","","","","  Japan-- Labor force survey Newspaper.","","","","","","","","","",
" 新加坡--「Labour Force in Singapore」，美國--「Current Population Survey」。 ","","","","","","","","","","","","  Korea, R.O. --Statistical Database http://kosis.kr/eng/.","","","","","","","","","",
,,,,,,,,,,,"","  Hong Kong -- Monthly Statistics of Hong Kong, and Hong Kong Statistics Journal.","","","","","","","","","",
" 附       註： (1)勞動力參與率＝（勞動力人口數／15歲以上民間人口數）×100。ˉ ","","","","","","","","","","","","  Singapore -- Labour Force in Singapore.","","","","","","","","","",
" (2)美國勞動力參與率按16歲以上民間人口數計算。 ","","","","","","","","","","",,,,,,,,,,,,
,,,,,,,,,,,"","  United States -- Labor force Statistics http://www.bls.gov/data/.","","","","","","","","","",
,,,,,,,,,,," Remark：","  (1) Labor force participation = (labor force / civilian population of 15 years or over)×100. ˉ","","","","","","","","","",
,,,,,,,,,,,"","  (2) The labor force participation of USA is calculated with the civilian population of 16 years or over.ˉ","","","","","","","","","",
" ","","","   -398-","","","","","","","","","","","","","   -399-","","","","","",
