"","","","  motors","","","   machinery","","","","","    equipment","","  containers",""," equipment",,,,,,,,"","  materials","","","","","  media"," media"," classified","","","","  motors","","","   machinery","","","","","    equipment","","  containers",""," equipment",,,,,,,,"","  materials","","","","","  media"," media"," classified",
"","","","","      device","  machinery",""," machinery","","   hoists"," machinery","","",""," equipment","","","  burners","","    tools","","","",,,,,,,,,,"","","","","      device","  machinery",""," machinery","","   hoists"," machinery","","",""," equipment","","","  burners","","    tools","","","",,,,,,,,,,
" 總　計","10668","1479","30","349","61","39","1000","1913","147","465","1301","1540","75","17","29"," 總　計","19","120","391","575","314","762","1051","244","807","265","1205","2453","1304","515","634"," 　電腦、電子產品及光學製品","233","39","1","4","0","2","32","34","2","10","22","41","1","0","1"," 　電腦、電子產品及光學製品","0","3","12","17","7","19","25","9","16","7","22","46","30","7","9",
" Grand total","","","","","","","",,,,,,,,," Grand total","","","","","","",,,,,,,,,," 　Computers, electronic & optical products","","","","","","","",,,,,,,,," 　Computers, electronic & optical products","","","","","","",,,,,,,,,,
" 農、林、漁、牧業","26","1","0","0","0","0","1","3","0","0","3","4","0","0","0"," 農、林、漁、牧業","0","1","1","2","0","1","3","0","3","0","5","9","2","1","6"," 　電力設備及配備","226","71","6","13","1","1","50","33","7","8","18","33","1","0","1"," 　電力設備及配備","0","4","14","4","9","11","28","4","24","4","21","25","8","7","10",
" Agriculture, forestry, fishing & animal husbandry","","","","","","","",,,,,,,,," Agriculture, forestry, fishing & animal husbandry","","","","","","",,,,,,,,,," 　Electrical equipment","","","","","","","",,,,,,,,," 　Electrical equipment","","","","","","",,,,,,,,,,
" 礦業及土石採取業","5","0","0","0","0","0","0","1","0","0","1","0","0","0","0"," 礦業及土石採取業","0","0","0","0","0","2","0","0","0","0","0","2","0","1","1"," 　機械設備","346","123","0","21","2","3","97","37","10","12","15","53","1","0","1"," 　機械設備","0","3","22","18","8","16","59","6","53","8","11","39","12","10","17",
" Mining & quarrying","","","","","","","",,,,,,,,," Mining & quarrying","","","","","","",,,,,,,,,," 　Machinery & equipment","","","","","","","",,,,,,,,," 　Machinery & equipment","","","","","","",,,,,,,,,,
" 製造業","5229","1338","29","317","42","26","924","597","94","267","236","864","36","17","21"," 製造業","6","48","245","275","216","333","703","190","513","118","484","792","385","146","261"," 　汽車及其零件","156","64","0","2","0","0","62","18","5","7","6","20","0","0","1"," 　汽車及其零件","0","1","4","9","5","3","26","6","20","3","5","17","9","5","3",
" Manufacturing","","","","","","","",,,,,,,,," Manufacturing","","","","","","",,,,,,,,,," 　Motor vehicles & parts","","","","","","","",,,,,,,,," 　Motor vehicles & parts","","","","","","",,,,,,,,,,
" 　食品及飼品","449","69","2","27","1","2","37","70","6","42","22","74","4","0","0"," 　食品及飼品","0","3","24","21","22","40","21","4","17","12","94","69","36","17","16"," 　其他運輸工具及其零件","205","62","0","6","6","1","49","21","6","8","7","37","0","0","2"," 　其他運輸工具及其零件","0","0","14","17","4","22","19","2","17","1","15","28","12","5","11",
" 　Food products & prepared animal feeds","","","","","","","",,,,,,,,," 　Food products & prepared animal feeds","","","","","","",,,,,,,,,," 　Other transport equipment & parts","","","","","","","",,,,,,,,," 　Other transport equipment & parts","","","","","","",,,,,,,,,,
" 　飲料","37","3","0","2","0","0","1","7","1","6","0","7","1","0","0"," 　飲料","0","1","1","4","0","7","3","1","2","2","6","2","1","1","0"," 　家具","36","11","0","0","2","0","9","7","2","3","2","5","0","0","0"," 　家具","0","1","1","3","0","1","10","1","9","0","0","2","0","0","2",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 　Furniture","","","","","","","",,,,,,,,," 　Furniture","","","","","","",,,,,,,,,,
" 　Beverages","","","","","","","",,,,,,,,," 　Beverages","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　菸草","3","2","0","2","0","0","0","1","0","1","0","0","0","0","0"," 　菸草","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 　其他","171","69","2","11","4","2","50","13","1","7","5","27","0","0","0"," 　其他","0","1","9","13","4","10","12","2","10","5","22","13","7","3","3",
" 　Tobacco products","","","","","","","",,,,,,,,," 　Tobacco products","","","","","","",,,,,,,,,," 　Other manufacturing","","","","","","","",,,,,,,,," 　Other manufacturing","","","","","","",,,,,,,,,,
" 　紡織","175","52","2","29","0","0","21","24","3","12","9","26","6","0","0"," 　紡織","0","1","10","5","4","13","8","3","5","9","18","25","14","2","9"," 　產業用機械設備維修及安裝","13","0","0","0","0","0","0","1","1","0","0","7","0","0","0"," 　產業用機械設備維修及安裝","0","0","1","2","4","1","0","0","0","1","1","2","1","1","0",
" 　Textiles","","","","","","","",,,,,,,,," 　Textiles","","","","","","",,,,,,,,,," 　Repair and installation of industrial","","","","","","","",,,,,,,,," 　Repair and installation of industrial","","","","","","",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 　machinery and equipment","","","","","","","",,,,,,,,," 　machinery and equipment","","","","","","",,,,,,,,,,
" 　成衣及服飾品","31","4","1","2","1","0","0","6","0","0","6","8","0","0","0"," 　成衣及服飾品","0","0","3","5","0","2","0","0","0","1","2","8","2","1","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　Wearing apparel & clothing accessories","","","","","","","",,,,,,,,," 　Wearing apparel & clothing accessories","","","","","","",,,,,,,,,," 電力及燃氣供應業","43","1","0","0","0","1","0","16","4","4","8","13","0","0","0"," 電力及燃氣供應業","0","9","2","2","0","4","3","1","2","0","5","1","0","0","1",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Electricity & gas supply","","","","","","","",,,,,,,,," Electricity & gas supply","","","","","","",,,,,,,,,,
" 　皮革、毛皮及其製品","38","9","0","4","0","0","5","2","0","0","2","5","0","0","0"," 　皮革、毛皮及其製品","0","0","1","0","4","3","4","0","4","0","8","7","7","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　Leather, fur & related products","","","","","","","",,,,,,,,," 　Leather, fur & related products","","","","","","",,,,,,,,,," 用水供應及污染整治業","184","8","0","2","0","3","3","60","3","12","45","9","0","0","1"," 用水供應及污染整治業","0","0","1","5","2","5","25","3","22","5","20","52","18","14","20",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Water supply & remediation activities","","","","","","","",,,,,,,,," Water supply & remediation activities","","","","","","",,,,,,,,,,
" 　木竹製品","17","8","0","4","2","0","2","3","1","2","0","0","0","0","0"," 　木竹製品","0","0","0","0","0","0","0","0","0","1","1","4","0","3","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　Wood & of products of wood & bamboo","","","","","","","",,,,,,,,," 　Wood & of products of wood & bamboo","","","","","","",,,,,,,,,," 營建工程業","253","22","0","2","2","7","11","33","7","9","17","47","2","0","1"," 營建工程業","0","5","10","25","4","60","42","6","36","5","11","33","13","11","9",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Construction","","","","","","","",,,,,,,,," Construction","","","","","","",,,,,,,,,,
" 　紙漿、紙及紙製品","116","47","4","24","1","1","17","19","2","15","2","12","0","0","0"," 　紙漿、紙及紙製品","0","3","2","4","3","4","8","3","5","3","10","13","5","4","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　Paper & paper products","","","","","","","",,,,,,,,," 　Paper & paper products","","","","","","",,,,,,,,,," 批發及零售業","770","38","1","5","3","0","29","154","5","26","123","190","8","0","1"," 批發及零售業","1","37","32","99","12","63","87","6","81","19","60","159","62","46","51",
" 　印刷及資料儲存媒體複製","46","15","0","4","1","1","9","6","2","1","3","11","0","0","0"," 　印刷及資料儲存媒體複製","0","0","1","2","8","1","4","1","3","2","0","7","2","1","4"," Wholesale & retail trade","","","","","","","",,,,,,,,," Wholesale & retail trade","","","","","","",,,,,,,,,,
" 　Printing & reproduction of recorded media","","","","","","","",,,,,,,,," 　Printing & reproduction of recorded media","","","","","","",,,,,,,,,," 運輸及倉儲業","1374","27","0","13","2","2","10","507","17","89","401","106","3","0","1"," 運輸及倉儲業","0","3","28","46","25","93","43","3","40","86","135","377","248","75","54",
" 　石油及煤製品","4","1","0","0","0","0","1","1","0","0","1","0","0","0","0"," 　石油及煤製品","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0"," Transportation & storage","","","","","","","",,,,,,,,," Transportation & storage","","","","","","",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 住宿及餐飲業","1019","14","0","2","4","0","8","77","5","5","67","156","22","0","1"," 住宿及餐飲業","9","6","49","46","23","64","61","13","48","9","235","403","258","58","87",
" 　Petroleum & coal products","","","","","","","",,,,,,,,," 　Petroleum & coal products","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　化學原材料、肥料、氮化合物、塑橡膠","161","20","0","8","1","1","10","17","3","9","5","39","4","3","2"," 　化學原材料、肥料、氮化合物、塑橡膠","0","0","12","12","6","12","29","22","7","1","24","19","8","4","7"," Accommodation & food service activities","","","","","","","",,,,,,,,," Accommodation & food service activities","","","","","","",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 出版、影音製作、傳播及資通訊服務業","90","1","0","1","0","0","0","27","0","4","23","16","0","0","1"," 出版、影音製作、傳播及資通訊服務業","0","0","0","15","0","13","5","0","5","2","8","18","5","3","10",
" 　原料及人造纖維","","","","","","","",,,,,,,,," 　原料及人造纖維","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　Chemical material, fertilizers & nitrogen","","","","","","","",,,,,,,,," 　Chemical material, fertilizers & nitrogen","","","","","","",,,,,,,,,," Information & communication","","","","","","","",,,,,,,,," Information & communication","","","","","","",,,,,,,,,,
" 　compounds, plastic & rubber materials,","","","","","","","",,,,,,,,," 　compounds, plastic & rubber materials,","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 金融及保險業","272","1","0","0","0","0","1","136","1","13","122","12","0","0","0"," 金融及保險業","0","3","2","2","5","35","2","0","2","7","26","53","19","28","6",
" 　man-made fibres","","","","","","","",,,,,,,,," 　man-made fibres","","","","","","",,,,,,,,,," Financial & insurance activities","","","","","","","",,,,,,,,," Financial & insurance activities","","","","","","",,,,,,,,,,
" 　其他化學製品","118","10","0","2","0","0","8","26","0","11","15","16","2","3","2"," 　其他化學製品","0","2","3","2","2","3","23","18","5","4","17","19","7","5","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 不動產業","77","1","0","1","0","0","0","38","1","2","35","6","0","0","0"," 不動產業","0","1","2","1","2","8","2","0","2","1","7","14","5","3","6",
" 　Other chemical products","","","","","","","",,,,,,,,," 　Other chemical products","","","","","","",,,,,,,,,," Real estate activities","","","","","","","",,,,,,,,," Real estate activities","","","","","","",,,,,,,,,,
" 　藥品及醫用化學製品","81","17","2","3","0","0","12","7","2","1","4","14","4","0","0"," 　藥品及醫用化學製品","0","0","2","4","4","9","8","8","0","3","8","15","6","6","3"," 專業、科學及技術服務業","102","1","0","0","0","0","1","19","0","2","17","18","1","0","0"," 專業、科學及技術服務業","0","1","6","6","4","8","5","2","3","0","4","47","18","19","10",
" 　Pharmaceuticals & medicinal chemical","","","","","","","",,,,,,,,," 　Pharmaceuticals & medicinal chemical","","","","","","",,,,,,,,,," Professional, scientific & technical activities","","","","","","","",,,,,,,,," Professional, scientific & technical activities","","","","","","",,,,,,,,,,
" 　products","","","","","","","",,,,,,,,," 　products","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 支援服務業","266","5","0","0","1","0","4","84","3","9","72","22","0","0","0"," 支援服務業","0","1","2","15","4","31","4","0","4","1","45","74","26","32","16",
" 　橡膠製品","169","68","0","14","0","2","52","22","3","16","3","24","0","0","0"," 　橡膠製品","0","1","5","13","5","4","17","1","16","1","17","16","11","2","3"," Support service activities","","","","","","","",,,,,,,,," Support service activities","","","","","","",,,,,,,,,,
" 　Rubber products","","","","","","","",,,,,,,,," 　Rubber products","","","","","","",,,,,,,,,," 公共行政及國防；強制性社會安全","285","9","0","1","7","0","1","95","3","20","72","17","1","0","1"," 公共行政及國防；強制性社會安全","0","0","5","9","1","5","32","3","29","6","48","73","33","18","22",
" 　塑膠製品","244","93","1","28","5","1","58","26","2","13","11","37","1","0","2"," 　塑膠製品","0","2","13","13","6","9","13","3","10","4","12","50","17","4","29"," Public administration & defence;","","","","","","","",,,,,,,,," Public administration & defence;","","","","","","",,,,,,,,,,
" 　Plastics products","","","","","","","",,,,,,,,," 　Plastics products","","","","","","",,,,,,,,,," Compulsory social security","","","","","","","",,,,,,,,," Compulsory social security","","","","","","",,,,,,,,,,
" 　非金屬礦物製品","204","39","1","12","3","1","22","29","4","17","8","26","0","0","2"," 　非金屬礦物製品","0","1","9","10","4","18","47","2","45","2","20","23","9","2","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 教育業","30","3","0","0","0","0","3","7","1","0","6","3","0","0","0"," 教育業","0","0","0","3","0","2","2","0","2","0","6","7","4","1","2",
" 　Other non-metallic mineral products","","","","","","","",,,,,,,,," 　Other non-metallic mineral products","","","","","","",,,,,,,,,," Education","","","","","","","",,,,,,,,," Education","","","","","","",,,,,,,,,,
" 　基本金屬","276","52","2","20","5","1","24","31","11","15","5","49","1","0","3"," 　基本金屬","3","2","10","18","12","12","72","11","61","1","21","38","9","1","28"," 醫療保健及社會工作服務業","532","7","0","5","0","0","2","39","2","1","36","44","2","0","1"," 醫療保健及社會工作服務業","1","4","5","17","14","29","26","15","11","2","90","295","181","49","65",
" 　Basic Metals","","","","","","","",,,,,,,,," 　Basic Metals","","","","","","",,,,,,,,,," Human health & social work activities","","","","","","","",,,,,,,,," Human health & social work activities","","","","","","",,,,,,,,,,
" 　金屬製品","740","256","5","31","6","5","209","57","14","26","17","112","4","2","4"," 　金屬製品","1","4","35","30","32","24","158","33","125","19","37","77","34","18","25"," 藝術、娛樂及休閒服務業","84","0","0","0","0","0","0","7","1","0","6","10","0","0","0"," 藝術、娛樂及休閒服務業","2","1","0","5","2","4","4","1","3","2","16","41","26","10","5",
" 　Fabricated metal products","","","","","","","",,,,,,,,," 　Fabricated metal products","","","","","","",,,,,,,,,," Arts, entertainment & recreation","","","","","","","",,,,,,,,," Arts, entertainment & recreation","","","","","","",,,,,,,,,,
" 　電子零組件","934","134","0","44","1","2","87","79","6","25","48","181","6","9","0"," 　電子零組件","2","15","37","49","63","88","109","50","59","24","91","228","138","37","53"," 其他服務業","27","2","0","0","0","0","2","13","0","2","11","3","0","0","0"," 其他服務業","0","0","1","2","0","2","2","1","1","2","0","3","1","0","2",
" 　Electronic parts & components","","","","","","","",,,,,,,,," 　Electronic parts & components","","","","","","",,,,,,,,,," Other service activities","","","","","","","",,,,,,,,," Other service activities","","","","","","",,,,,,,,,,
"  資料來源："," 勞動部職業安全衛生署。","","","","","",""," Source：  Occupational Safety and Health Administration, MOL.","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  說　　明："," 1.本表資料係依「職業安全衛生法」第三十八條及施行細則第五十一條，由雇主按月填載職業災害內容及統","","","","","",""," Note：  1.This table is compiled from the monthly occupational accidents reports and statistics submitted by employers in accordance","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","    計彙總。","","","","","","","     with provisions of Article 38 of the "Occupational Safety and Health Act" and Article 51 of the "Enforcement Rules of the","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
""," 2.依據「中華民國行業標準分類（第10次修訂）」編製。  ˉ","","","","","","","     Occupational Safety and Health Act".","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  附　　註："," 本表不含上下班交通事故。","","","","","","","  2.Data series were classified refer to Standard Industrial Classification System of R.O.C, Rev.10.","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,," Remark：  Data series in the table exclude the traffic accidents on the commute.","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","","   -274-","","","","","","","","","   -275-","","","","","","","  -276-","","","","","","","","","  -277-","","","","","","","   -278-","","","","","","","","","   -279-","","","","","","","  -280-","","","","","","","","","  -281-","","","","",
