" 表 10-13 經指定填報職業災害統計之事業單位之失能傷害頻率及嚴重率 ","","","","","","","","","","","",""," Table 10-13  Frequency of Disability and Severity of Disability  of the Designated Industries","","","","","","","","","","","","","","","","","",""," 表 10-13 經指定填報職業災害統計之事業單位之失能傷害頻率及嚴重率(續1) ","","","","","","","","","","","","","","","","",""," Table 10-13  Frequency of Disability and Severity of Disability  of the Designated Industries","","","","","","","","","","","","",""," 表 10-13 經指定填報職業災害統計之事業單位之失能傷害頻率及嚴重率(續2) ","","","","","","","","","","","",""," Table 10-13  Frequency of Disability and Severity of Disability  of the Designated Industries","","","","","","","","","","","","","","",""," 表 10-13 經指定填報職業災害統計之事業單位之失能傷害頻率及嚴重率(續3) ","","","","","","","","","","","","","","","","",""," Table 10-13  Frequency of Disability and Severity of Disability  of the Designated Industries","","","","","","","","","","","","","","",""," 表 10-13 經指定填報職業災害統計之事業單位之失能傷害頻率及嚴重率(續4完) ","","","","","","","","","","","","","","","","",""," Table 10-13  Frequency of Disability and Severity of Disability  of the Designated Industries","","","","","","","","","","","","","","","",
"  89年  2000 ","","2.13","","224","","5.38","","534","","0.45","","231","","","2.04","","","","197","","","1.7","","","74","","","1.78","","","8","  89年  2000 ","","2.38","","","","111","","","0.25","","184","","","","0.76","","2","2.67","","66","2.98","","500","","3.25","","161","","0.1","","0","  89年  2000 ","","3.66","","626","","1.19","","9","","1","","248","","4.13","","161","","1.15","","213","","3.42","","503","","3.5","","953","  89年  2000 ","","2.02","","","","296","","","1.83","","307","","","","1.86","","43","","2.08","","406","","1.78","","189","","1.24","","7","","0.7","","525","  89年  2000 ","","1.43","","","","864","","","2.55","","560","","","","3.07","","168","","0","","0","","1.61","","3","","2.2","","144","","3.84","","116",
"  90年  2001 ","","1.86","","187","","2.18","","16","","1.27","","278","","","1.93","","","","195","","","1.62","","","78","","","0.97","","","1944","  90年  2001 ","","2.07","","","","230","","","0.16","","0","","","","1.13","","801","2.2","","9","3.88","","17","","2.6","","623","","0.56","","2","  90年  2001 ","","2.79","","215","","0.95","","360","","0.8","","8","","4.49","","195","","1.29","","201","","3.77","","257","","2.37","","499","  90年  2001 ","","2.09","","","","170","","","1.39","","30","","","","2.02","","144","","1.48","","255","","1.96","","276","","0.54","","12","","0.65","","415","  90年  2001 ","","0.8","","","","347","","","1.57","","5","","","","2.64","","277","","0","","0","","4.41","","63","","1.52","","54","","2.26","","117",
"  91年  2002 ","","1.8","","182","","1.2","","8","","1.22","","924","","","1.84","","","","134","","","1.45","","","251","","","0.84","","","1","  91年  2002 ","","2.02","","","","140","","","0.16","","0","","","","2.25","","446","1.75","","10","4.33","","59","","3.1","","364","","0.7","","845","  91年  2002 ","","2.68","","312","","0.9","","254","","0.77","","294","","3.67","","16","","1.45","","222","","3.62","","14","","2.81","","385","  91年  2002 ","","1.61","","","","173","","","1.35","","115","","","","1.79","","60","","1.52","","108","","1.63","","11","","0.72","","192","","0.43","","250","  91年  2002 ","","1.69","","","","1549","","","1.17","","106","","","","2.52","","227","","0","","0","","4.53","","1548","","1.57","","37","","1.62","","125",
"  92年  2003 ","","1.91","","147","","2.06","","971","","0.51","","4","","","2.01","","","","132","","","1.64","","","133","","","1.63","","","52","  92年  2003 ","","1.91","","","","162","","","0.39","","2","","","","1.28","","13","0.48","","35","2.97","","828","","1.78","","537","","0.59","","3","  92年  2003 ","","2.56","","373","","0.88","","73","","0.86","","3","","4.09","","200","","1.29","","142","","3.95","","108","","2.7","","282","  92年  2003 ","","1.48","","","","26","","","1.88","","130","","","","2.22","","63","","2.35","","234","","1.2","","158","","0.98","","163","","0.76","","309","  92年  2003 ","","0.89","","","","496","","","0.58","","4","","","","2.61","","236","","0.51","","59","","1.12","","19","","2.01","","97","","1.76","","155",
"  93年  2004 ","","1.96","","181","","1.07","","4","","0.25","","387","","","1.99","","","","160","","","1.72","","","33","","","0.41","","","18","  93年  2004 ","","1.62","","","","271","","","0.25","","3","","","","1.33","","3","1.49","","24","3.32","","36","","2.05","","844","","0.73","","5","  93年  2004 ","","2","","99","","0.91","","164","","1.13","","291","","3.85","","169","","1.25","","123","","3.53","","18","","2.92","","173","  93年  2004 ","","1.76","","","","102","","","1.53","","109","","","","2.16","","148","","1.9","","102","","1.79","","531","","1.47","","13","","0.46","","424","  93年  2004 ","","0.97","","","","521","","","1.5","","89","","","","3.13","","323","","0.2","","3","","0.42","","135","","2.34","","154","","1.66","","198",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","  醫療保健及社會","","","  文化、運動及","","","","","","","","",
" ",""," 總      計","",""," 農、林、漁、牧業",""," 礦業及土石採取業","","","","  製　造　業","","","","","","","","","","","","","","","","","   成衣、服飾品及其他","","",""," ","   皮革、毛皮及其","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",""," 電腦、通信及視聽","","","","","",""," ","   電力機械器材及","","","","","","","",""," 精密、光學、醫療器材","","","","","","","","","  水電燃氣業","","","",""," 營　造　業","","","  批發及零售業","","","","  住宿及餐飲業","",""," ","  運輸、倉儲及通信業","","","","","","  金融及保險業","","","   不動產及租賃業","","","",""," 專業、科學及技術服務業","","","","  教育服務業","","","","","","","","","  其他服務業","","","","  公共行政業","",
,,,,,,,,,,,,,""," 食品及飲料製造業","","","","","",""," 菸草製造業","","","  紡　織　業","","","","","  紡織製品製造業","",""," ","","","","","","","  木竹製品製造業","","","  家具及裝設品製造業","","","",""," 紙漿、紙及紙製品製造業","","","  印刷及其輔助業","","","  化學材料製造業","","","","  化學製品製造業","","","  石油及煤製品製造業","","",""," ","  橡膠製品製造業","","","","  塑膠製品製造業",""," 非金屬礦物製品製造業","","","","  金屬基本工業","","","  金屬製品製造業","","","  機械設備製造修配業","","","","","  電子產品製造業","","",""," 電子零組件製造業","",""," ","   設備製造修配業","","","","","  運輸工具製造修配業","","","","   及鐘錶製造業","","","","","  其他工業製品製造業","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","  福利服務業","","","  休閒服務業","","","","","","","","",
" ","","","",""," Agriculture, forestry,","","","","","","","",,,,,,,,,,,,,,,,,,,," ","   製品製造業","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 年     別 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","   Apparel, clothing accessories","","",""," 年     別 ","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,," 年     別 ","","","","","","","","","","","","","","","","","","","",""," Computer, communications, &","","","","","","",""," 年     別 ","  Electrical machinery,","","","","","","","",""," Precision, optical, medical","","","","","","","","","","","","","","","","","","","","","  Accommodation &","",""," 年     別 ","  Transportation, storage","","","","","","","","","  Real estate & rental","","","","","  Professional, scientific","","","","","","","  Health care & social","",""," Cultural, sporting &","","","","","","","","",
" ",""," Grand total","","","  fishing & animal",""," Mining & quarrying","","","","  Manufacturing","",,,,,,,,,,,,,,,,,,,," ","  Leather, fur & allied","","","","","  Wood & bamboo products","","","","  Furniture & fixtures","","","","",""," Pulp, paper & paper","","  Printing & related","","","  Chemical material","","",""," Chemical products","","","  Petroleum & coal products","","",""," ","  Rubber products","","","","  Plastic products",""," Non-metallic mineral","","","","","","","  Fabricated metal","","","  Machinery & equipment","","","","  audio & video electronic","","","","","  Electronic parts &","",""," ","  supplies & equipment","","","","",""," Transport equipment","","","  equipment, watches &","","","","","","  Other industrial","","  Electricity, gas & water","","","","","","  Construction","","","  Trade","","","","","",""," ","","","","","",""," Finance & insurance","","","","","","","","","","","  Educational services","","","","","","","","","","  Other services","","",""," Public administration","",
" ","","","","","  husbandry","","","","","","","","","  Food & breverage manufacturing","","","","","  Tobacco manufacturing","","","","","  Textiles mills","","","","   & other textile product","  manufacturing","",""," ","  product manufacturing","","","","","",""," manufacturing","","   manufacturing","","","","","  products manufacturing","","","  support activities","","",""," manufacturing","","","  manufacturing","","","","  manufacturing","",""," ","  manufacturing","","","","  manufacturing",""," products manufacturing","","","  Basic metal industries","","","  products manufacturing","","","","  manufacturing & repairing","","","","  products manufacturing","","","","  components manufacturing","","",""," "," manufacturing & repairing","","","","","  manufacturing & repairing","","","","  clocks manufacturing","","","","","  products manufacturing","","","","","","","","","","","","","","","  eating-drinking places","","",""," ","   & communications","","","","","","","","","   & leasing","","","","",""," & technical services","","","","","","  welfare services","",""," recreational services","","","","","","","","",
" 失能傷害 ","","  失能傷害","","  失能傷害",""," 失能傷害"," 失能傷害","  失能傷害",""," 失能傷害",""," 失能傷害","  失能傷害","","","  失能傷害","","","  失能傷害","",""," 失能傷害"," 失能傷害","","","  失能傷害","","   失能傷害","","  失能傷害",""," "," 失能傷害","","  失能傷害","","","  失能傷害","","  失能傷害",""," 失能傷害","","  失能傷害","",""," 失能傷害",""," 失能傷害"," 失能傷害","  失能傷害",""," 失能傷害",""," 失能傷害"," 失能傷害","","  失能傷害","","  失能傷害","","  失能傷害",""," 失能傷害 ","","  失能傷害","","  失能傷害",""," 失能傷害"," 失能傷害","  失能傷害",""," 失能傷害",""," 失能傷害","  失能傷害","","  失能傷害","","  失能傷害","",""," 失能傷害"," 失能傷害","","  失能傷害","","  失能傷害","","  失能傷害",""," "," 失能傷害","","  失能傷害","","","  失能傷害","","  失能傷害",""," 失能傷害","","  失能傷害","",""," 失能傷害",""," 失能傷害","  失能傷害","","  失能傷害","","  失能傷害","",""," 失能傷害"," 失能傷害","","  失能傷害","","  失能傷害","","  失能傷害",""," "," 失能傷害","","  失能傷害","","","  失能傷害","","  失能傷害",""," 失能傷害","","  失能傷害","",""," 失能傷害",""," 失能傷害"," 失能傷害","  失能傷害","","  失能傷害","","  失能傷害",""," 失能傷害"," 失能傷害","  失能傷害","","  失能傷害","","  失能傷害",""," 失能傷害",
" Year 頻　　率 ","","  嚴重率","","  頻　　率",""," 嚴重率"," 頻　　率","  嚴重率",""," 頻　　率",""," 嚴重率","  頻　　率","","","  嚴重率","","","  頻　　率","",""," 嚴重率"," 頻　　率","","","  嚴重率","","   頻　　率","",""," 嚴重率"," Year "," 頻　　率","","  嚴重率","","","  頻　　率","",""," 嚴重率"," 頻　　率","","  嚴重率","",""," 頻　　率",""," 嚴重率"," 頻　　率","  嚴重率",""," 頻　　率",""," 嚴重率"," 頻　　率","","  嚴重率","","  頻　　率","",""," 嚴重率"," Year 頻　　率 ","","  嚴重率","","  頻　　率",""," 嚴重率"," 頻　　率","  嚴重率",""," 頻　　率",""," 嚴重率","  頻　　率","","  嚴重率","","  頻　　率","",""," 嚴重率"," 頻　　率","","  嚴重率","","  頻　　率","",""," 嚴重率"," Year "," 頻　　率","","  嚴重率","","","  頻　　率","",""," 嚴重率"," 頻　　率","","  嚴重率","",""," 頻　　率",""," 嚴重率","  頻　　率","","  嚴重率","","  頻　　率","",""," 嚴重率"," 頻　　率","","  嚴重率","","  頻　　率","",""," 嚴重率"," Year "," 頻　　率","","  嚴重率","","","  頻　　率","",""," 嚴重率"," 頻　　率","","  嚴重率","",""," 頻　　率",""," 嚴重率"," 頻　　率",""," 嚴重率","  頻　　率","",""," 嚴重率"," 頻　　率"," 嚴重率","  頻　　率","","  嚴重率","","  頻　　率",""," 嚴重率",
" Frequency ","","  Severity of","","  Frequency",""," Severity of"," Frequency","  Severity of",""," Frequency",""," Severity of","  Frequency","","","  Severity of","","","  Frequency","",""," Severity of"," Frequency","","","  Severity of","","   Frequency","","  Severity of",""," "," Frequency","","  Severity of","","","  Frequency","","  Severity of",""," Frequency","","  Severity of","",""," Frequency",""," Severity of"," Frequency","  Severity of",""," Frequency",""," Severity of"," Frequency","","  Severity of","","  Frequency","","  Severity of",""," Frequency ","","  Severity of","","  Frequency",""," Severity of"," Frequency","  Severity of",""," Frequency",""," Severity of","  Frequency","","  Severity of","","  Frequency","",""," Severity of"," Frequency","","  Severity of","","  Frequency","","  Severity of",""," "," Frequency","","  Severity of","","","  Frequency","","  Severity of",""," Frequency","","  Severity of","",""," Frequency",""," Severity of","  Frequency","","  Severity of","","  Frequency","",""," Severity of"," Frequency","","  Severity of","","  Frequency","","  Severity of",""," "," Frequency","","  Severity of","","","  Frequency","","  Severity of",""," Frequency","","  Severity of","",""," Frequency",""," Severity of"," Frequency","  Severity of","","  Frequency","","  Severity of",""," Frequency"," Severity of","  Frequency","","  Severity of","","  Frequency",""," Severity of",
" of disability ","","  disability","","  of disability",""," disability"," of disability","  disability",""," of disability",""," disability"," of disability","","","  disability","","","  of disability","",""," disability"," of disability","","","  disability","","   of disability","",""," disability"," "," of disability","","  disability","","","  of disability","",""," disability"," of disability","","  disability","",""," of disability",""," disability"," of disability","  disability",""," of disability",""," disability"," of disability","","  disability","","  of disability","",""," disability"," of disability ","","  disability","","  of disability",""," disability"," of disability","  disability",""," of disability",""," disability"," of disability","","  disability","","  of disability","",""," disability"," of disability","","  disability","","  of disability","",""," disability"," "," of disability","","  disability","","","  of disability","",""," disability"," of disability","","  disability","",""," of disability",""," disability"," of disability","","  disability","","  of disability","",""," disability"," of disability","","  disability","","  of disability","",""," disability"," "," of disability","","  disability","","","  of disability","",""," disability"," of disability","","  disability","",""," of disability",""," disability"," of disability","  disability","","  of disability","","  disability",""," of disability"," disability","  of disability","","  disability","","  of disability",""," disability",
"  94年  2005 ","2.51","","325","","2.15","1271","0.81","","704","","2.7","341","","3.49","","","607","","","2.03","","2070","","2.53","","","454","","1.23","","240","  94年  2005 ","3.04","","","408","","","6.72","","1167","4.21","","","574","","","4.67","501","3.51","","108","2.46","","440","","1.41","","262","","0.52","","12","  94年  2005 ","4.59","","104","","3.14","591","4.41","","588","","5.69","771","","4.43","","541","","4.05","","807","","1.24","","134","","1.92","","137","  94年  2005 ","2.21","","","180","","","3.19","","420","1.89","","","123","","","2.92","138","","0.53","","441","","1.49","","571","","1.96","","105","","4.12","","267","  94年  2005 ","4.16","","","527","","","0.54","","46","0.85","","","21","","","0.79","159","0.09","","0","","1.68","","92","2.55","236","","3.02","","1004","","4.72","458",
"  95年  2006 ","2.13","","218","","1.92","34","0.26","","1","","2.46","244","","3.96","","","290","","","0.53","","3232","","2.57","","","190","","1.03","","22","  95年  2006 ","2.54","","","260","","","8.18","","1008","5.52","","","127","","","4.29","310","2.65","","90","1.87","","656","","1.57","","159","","0.43","","2","  95年  2006 ","4.17","","404","","2.88","371","5.31","","720","","5.64","824","","4.64","","597","","3.76","","329","","0.93","","72","","1.37","","88","  95年  2006 ","1.98","","","51","","","3.32","","337","1.25","","","67","","","2.71","223","","0.4","","187","","2.89","","1321","","1.66","","193","","3.78","","89","  95年  2006 ","3.51","","","223","","","0.37","","68","1.84","","","204","","","0.41","64","0.03","","0","","1.29","","29","1.74","106","","2.31","","271","","5.66","498",
"  96年  2007 ","2.2","","212","","1.49","32","0.27","","1","","2.46","213","","3.96","","","257","","","0.54","","5","","2.95","","","306","","1.04","","142","  96年  2007 ","3.07","","","59","","","12.08","","768","3.99","","","217","","","4.37","969","2.89","","60","1.96","","409","","1.71","","148","","0.53","","3","  96年  2007 ","4.51","","377","","2.87","271","5.65","","764","","5.93","606","","4.55","","563","","4","","321","","0.92","","60","","1.12","","46","  96年  2007 ","2.25","","","79","","","3.2","","187","1.04","","","14","","","2.41","200","","0.47","","194","","3.26","","904","","1.77","","177","","4.43","","53","  96年  2007 ","3.95","","","370","","","0.39","","109","1.24","","","92","","","0.63","66","0.1","","0","","1.29","","44","2.12","34","","2.29","","400","","5.08","722",
"  97年  2008 ","2.08","","166","","2.29","106","1.53","","74","","2.29","174","","3.64","","","269","","","0.54","","4","","2.82","","","149","","1.54","","117","  97年  2008 ","2.44","","","107","","","15.48","","1053","4.57","","","477","","","4.11","508","4.14","","303","1.51","","167","","1.58","","43","","0.52","","1","  97年  2008 ","4.4","","410","","2.78","392","5.31","","370","","4.34","303","","4.54","","480","","3.82","","256","","0.63","","19","","1","","32","  97年  2008 ","1.95","","","207","","","2.91","","173","1.05","","","20","","","3.35","581","","0.35","","90","","2.92","","651","","1.69","","137","","5.19","","129","  97年  2008 ","3.37","","","238","","","0.33","","21","2.02","","","35","","","0.54","55","0.1","","6","","1.24","","29","2.38","38","","2.27","","473","","4.53","458",
"  98年  2009 ","1.91","","171","","1.77","878","0.5","","10","","2.08","200","","3.59","","","240","","","0","","0","","2.48","","","107","","0.93","","181","  98年  2009 ","2.37","","","52","","","8.02","","2263","3.79","","","83","","","3.63","574","2.57","","80","1.84","","290","","1.76","","420","","0.34","","2","  98年  2009 ","3.6","","354","","2.6","393","4.11","","687","","4.06","450","","4.31","","444","","3.09","","432","","0.56","","19","","0.94","","36","  98年  2009 ","1.99","","","123","","","2.66","","227","1.33","","","105","","","2.61","63","","0.44","","168","","2.49","","720","","1.55","","83","","5","","112","  98年  2009 ","2.84","","","199","","","0.5","","25","1.67","","","318","","","0.53","83","0.08","","123","","1.22","","26","2.12","115","","2.05","","232","","4.69","421",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","  用水供應及","","","","","","","","","","","","","",""," "," 出版、影音製作、","","","","","","","","","","","  專業、科學及","","","","","","  公共行政及國防；","","","","","","","  醫療保健及社會","","","  藝術、娛樂及","","","","","",
" ",""," 總      計","",""," 農、林、漁、牧業",""," 礦業及土石採取業","","","","  製　造　業","",,,,,,,,,,,,,,,,,,,," ","  皮革、毛皮及","","","","","","","","   紙漿、紙及","","","  印刷及資料儲存","","","","","","  化學原材料、肥料、氮化合物、","","","","","","","","  藥品及醫用","","","","","",,,,,,,,,,,,,,"","","","","  電腦、電子產品及","","","  電力設備及","","","","","","","",""," ","  其他運輸工具","","","","","","","","","","","  產業用機械設備","","","","  電力及燃氣供應業","","","","","","  營建工程業","","","  批發及零售業","","","  運輸及倉儲業","","","","  住宿及餐飲業",""," ","","","","","  金融及保險業","","","","   不動產業","","","","","","","   支援服務業","","","","","","  教　育　業","","","","","","","","","","  其他服務業","",
