" ","  Safety and","",""," Working","  Safety and","",""," Working",""," Safety and","","  Working","","  Safety and","","  Working","","  Safety and","","  Working"," ","  Safety and","  Working","  Safety and","  Working","  Safety and","  Working",""," Safety and","","  Working","","  Safety and","","  Working","","  Safety and","","  Working"," ","  Safety and","","  Working","  Safety and","  Working","","  Safety and","  Working",""," Safety and","","  Working","","  Safety and","","  Working","","  Safety and","","  Working",,,,,,,,,,,"  vessels","","","","","  organic","  chemical","","",
" ","","  Health",""," condition","","  Health",""," condition","","  Health","","  condition","","  Health","","  condition","","  Health","","  condition"," ","  Health","  condition","  Health","  condition","  Health","  condition","","  Health","","  condition","","  Health","","  condition","","  Health","","  condition"," ","  Health","","  condition","  Health","  condition","","  Health","  condition","","  Health","","  condition","","  Health","","  condition","","  Health","","  condition"," ","  Safety and Health","","","  (Case)","","","","","  equipment","","","  use","  use","","  solvent","  substances","  lead","  dusts",
"  91年  2002 ","","71848","","10094","","10","","1","","32","","21","","16584","","2842","","2298","","592","  91年  2002 ","40627","626","785","682","1506","1511","","1277","","514","","1534","","1409","","595","","4","  91年  2002 ","457","","218","177","69","","1673","513","","1354","","110","","2471","","960","","30","","22","  91年  2002 ","","438","","1354","","7799","","53310","0","0","4230","1078","0","209","1329","1282","217","537",
"  92年  2003 ","","86774","","6901","","17","","8","","4","","7","","19358","","1756","","2308","","311","  92年  2003 ","46561","576","1542","79","2690","1286","","5011","","104","","481","","402","","660","","626","  92年  2003 ","276","","619","232","15","","2247","570","","947","","1","","3849","","526","","146","","15","  92年  2003 ","","445","","1678","","7777","","55321","0","0","4634","814","72","308","968","896","210","359",
"  93年  2004 ","","107087","","6330","","43","","10","","86","","4","","35993","","1782","","2722","","232","  93年  2004 ","51056","521","3993","546","1792","653","","1646","","422","","987","","444","","1467","","166","  93年  2004 ","1183","","325","408","45","","2116","256","","920","","369","","1987","","529","","215","","26","  93年  2004 ","","473","","1911","","7946","","29659","23214","2568","4878","904","65","292","901","987","217","375",
"  94年  2005 ","","100521","","4943","","122","","11","","105","","10","","35430","","940","","3026","","43","  94年  2005 ","43816","423","5651","846","1035","318","","2485","","682","","95","","268","","2307","","99","  94年  2005 ","1565","","287","328","69","","1367","209","","236","","203","","2582","","518","","371","","17","  94年  2005 ","","0","","2180","","7696","","29139","24972","1931","5901","1035","71","350","1461","1202","286","499",
"  95年  2006 ","","151225","","16871","","105","","13","","137","","7","","54808","","1440","","3393","","78","  95年  2006 ","74289","10345","4988","1350","1257","478","","2958","","723","","132","","441","","2838","","284","  95年  2006 ","1641","","646","64","67","","1202","213","","462","","213","","2756","","553","","195","","20","  95年  2006 ","","0","","1760","","7702","","29513","25019","2928","18638","8384","613","33","1319","928","202","473",
"  96年  2007 ","","197888","","20234","","198","","9","","140","","7","","71838","","1472","","3001","","24","  96年  2007 ","103401","13587","5154","1449","1369","650","","2918","","759","","71","","290","","3180","","239","  96年  2007 ","1389","","502","84","114","","1255","191","","302","","197","","3314","","702","","274","","42","  96年  2007 ","","0","","1618","","7859","","30534","27513","3097","21898","8798","30","678","1750","1239","281","598",
"  97年  2008 ","","119344","","12510","","116","","22","","95","","6","","34147","","1943","","2432","","51","  97年  2008 ","65515","4672","4222","1494","1466","964","","2608","","885","","74","","227","","1756","","254","  97年  2008 ","1618","","471","297","113","","1152","388","","392","","193","","3054","","800","","400","","27","  97年  2008 ","","0","","1818","","6813","","25768","24349","5389","32954","8657","52","653","1222","1087","160","424",
"  98年  2009 ","","149887","","14552","","128","","20","","77","","2","","35748","","3774","","2005","","56","  98年  2009 ","91306","4469","5907","1663","1934","831","","2990","","992","","105","","198","","2505","","174","  98年  2009 ","1762","","537","277","230","","1179","431","","474","","210","","3086","","910","","404","","55","  98年  2009 ","","0","","2343","","7290","","28963","27673","3543","23415","9453","21","731","1266","1195","112","403",
" ","","","  一               般               檢               查   (次)","","","","","","","","","","","  General  inspection   (Case)","","","","","",""," ","","  一               般               檢               查   (次)","","","","","","","","","","  General  inspection   (Case)","","","","","",""," ","","","  一               般               檢               查   (次)","","","","","","","","","","","  General  inspection   (Case)","","","","","",""," "," 礦場安全","","","","","","",""," 危　險　性","  機　械　或　設　備　檢　查  (座次)","","","","","  特殊危害作業檢查 ( 廠次 )","","","",
" 年     別 ","","","","","","","","",,,,,,,,,,,,," 年     別 ","","","","","","",""," 出版、影音製作、","","","","","","","","","",""," 年     別 ","","","","","","","","",,,,,,,,,,,,," 年     別 "," 檢查(次)","","","","","","",""," Inspection of","  Dangerous Machinery and Equipment (Case)","","","",""," Inspection of Special Hazardous Tasks (Case)  ˉ","","","",
" ","","  總　　　計","","  農、林、漁、牧業","","","  礦業及土石採取業","","","  製　造　業","","","  電力及燃氣供應業","","  用水供應及污染整治業","","","","  營建工程業",""," ","  批發及零售業","","  運輸及倉儲業","","  住宿及餐飲業","","  傳播及資通訊服務業","","","","  金融及保險業","","","  不　動　產　業","","","  專業、科學及技術服務業",""," ","","","  支援服務業","","  公共行政及國防；強制性社會安全","","","","","  教　育　業","","","  醫療保健及社會工作服務業","","  藝術、娛樂及休閒服務業","","","","  其 他 服 務 業","",,,,,,,,,,,,,,,,,,,,
" ","","","","  Agriculture,forestry, fishing &","","","","","","","","","","","","  Water supply &","","","",""," ","","","","","  Accommodation &","","","","","","  Financial &","","","","","","  Professional, scientific",""," ","","","","","","  Public administration & defence;","","","","","","","  Human health &","","","  Arts, entertainment","","","",""," ","","","","","","  高壓氣體","",""," 高壓氣體","","  營建用","  營建用","","  有機溶劑","  特定化學","",""," 缺氧、局限",
" ","","  Grand total","","","","","  Mining & quarrying","","","  Manufacturing","","","  Electricity & gas supply","","","","","","  Construction",""," ","  Wholesale & retail trade","","  Transportation & storage","","","","  Information & communication","","","","","",""," Real estate activities","","","",""," ","","  Support service activities","","","","","","","","  Education","","","","","","","","","  Other service activities","",,,,,,,,,,,"  起重機","","","  吊     籠","","","  鉛作業","  粉塵作業","",
" ","","","","  animal husbandry","","","","","","","","","","",""," remediation activities","","","",""," ","","","","","  food service activities","","","","","","  insurance activities","","","","","","  & technical activities",""," ","","","","","","  Compulsory social security","","","","","","","  social work activities","","","  & recreation","","","",""," ","  Safety","","  鍋爐","  壓力容器","","  特定設備","","","  容器","","  升降機","  提升機","","  作業","  物質作業","","","  空間作業",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," "," inspection","","","","","","","","","","","","","  Tasks","  Tasks invol-","",""," Tasks invol-",
" ","  安全衛生","","  勞動條件","  安全衛生","  勞動條件","","  安全衛生","  勞動條件","  安全衛生","","  勞動條件","","  安全衛生","  勞動條件","  安全衛生","","  勞動條件","","  安全衛生","  勞動條件"," ","  安全衛生","  勞動條件","  安全衛生","  勞動條件","  安全衛生","  勞動條件","  安全衛生","","  勞動條件","","  安全衛生","  勞動條件","  安全衛生","","  勞動條件","","  安全衛生","  勞動條件"," ","  安全衛生","",""," 勞動條件","  安全衛生","","  勞動條件","","  安全衛生","","  勞動條件","","  安全衛生","  勞動條件","  安全衛生","","  勞動條件","","  安全衛生","  勞動條件",,,,,,,,,,,""," Elevators for","  Lifts for","","","","  Tasks","  Tasks","",
" Year ","","","","","","","","",,,,,,,,,,,,," Year ","","","","","","",,,,,,,,,,,,," Year ","","","","","","","","",,,,,,,,,,,,," Year "," in mines (Case)",""," Boilers",""," Pressurevessels","  high-pressure Specified","",""," High-pressure vessels","  Cranes"," construction","  construction","  Cradles","  involving"," ving specific","  involving","  involving"," ving hypoxia",
" ","  Safety and","","  Working","  Safety and","  Working","","  Safety and","  Working","  Safety and","","  Working","","  Safety and","  Working","  Safety and","","  Working","","  Safety and","  Working"," ","  Safety and","  Working","  Safety and","  Working","  Safety and","  Working","  Safety and","","  Working","","  Safety and","  Working","  Safety and","","  Working","","  Safety and","  Working"," ","  Safety and","",""," Working","  Safety and","",""," Working","  Safety and","","  Working","","  Safety and","  Working","  Safety and","","  Working","","  Safety and","  Working",,,,,,,,,,,"","","","","  organic","  chemical","",""," and confined",
" ","  Health","","  condition","  Health","  condition","","  Health","  condition","  Health","","  condition","","  Health","  condition",""," Health","  condition","","  Health","  condition"," ","  Health","  condition","  Health","  condition","  Health","  condition","  Health","","  condition","","  Health","  condition",""," Health","  condition","","  Health","  condition"," ","","  Health",""," condition","","  Health",""," condition","  Health","","  condition","","  Health","  condition",""," Health","  condition","","  Health","  condition"," ","","","","","","  equipment","","","","","  use","  use","","  solvent","  substances","  lead","  dusts","  spaces",
"  99年  2010 ","106044","","10387","84","17","","80","10","21913","","2633","","1195","14","733","","102","","68916","654","  99年  2010 ","3078","1565","1859","803","1077","973","371","","350","","259","255","783","","166","","1242","389","  99年  2010 ","","2326","","1189","","298","","36","320","","221","","547","650","150","","102","","813","258","  99年  2010 ","2481","","7415","","29803","","28357","","3892","25163","9931","26","779","1159","1143","163","497","0",
" 100年  2011 ","101689","","17297","61","10","","95","22","20682","","5325","","952","108","421","","70","","67008","757"," 100年  2011 ","3278","2878","1498","1068","2208","1721","304","","626","","53","586","846","","192","","852","763"," 100年  2011 ","","2124","","1387","","178","","64","111","","310","","447","884","163","","198","","408","328"," 100年  2011 ","2276","","7623","","31519","","31518","","4290","24951","9966","9","751","1125","1101","118","564","0",
" 101年  2012 ","105603","","15918","93","21","","92","5","23768","","3735","","968","73","512","","54","","66084","570"," 101年  2012 ","3210","3044","1998","992","2332","1913","295","","483","","25","420","593","","219","","1057","525"," 101年  2012 ","","2763","","2131","","200","","38","98","","302","","608","891","220","","164","","687","338"," 101年  2012 ","2139","","7519","","31481","","31916","","4552","25731","10327","9","811","1305","1604","141","803","0",
" 102年  2013 ","102286","","16619","67","23","","145","7","30490","","4781","","1004","51","667","","103","","55582","958"," 102年  2013 ","3385","3555","2275","1025","1913","1150","421","","493","","145","431","266","","163","","983","719"," 102年  2013 ","","2127","","1132","","240","","97","682","","550","","828","713","242","","149","","824","519"," 102年  2013 ","2194","","7403","","30841","","31368","","4477","26495","10846","14","882","1992","1648","167","764","0",
" 103年  2014 ","90942","","12277","119","15","","93","3","30714","","3258","","1090","43","628","","69","","43654","631"," 103年  2014 ","3837","2050","2069","811","1998","1381","376","","366","","113","193","296","","127","","904","446"," 103年  2014 ","","1958","","944","","366","","30","239","","308","","1259","1144","249","","129","","980","329"," 103年  2014 ","2468","","7233","","31253","","31692","","4279","27588","7083","9","983","1544","1343","105","711","0",
" 104年  2015 r ","104862","","49764","93","67","","98","34","30671","","11360","","1181","112","768","","146","","54610","1541"," 104年  2015 r ","4506","10242","2257","3129","2022","6202","318","","994","","221","930","530","","357","","1874","1997"," 104年  2015 r ","","2412","","3282","","406","","87","373","","2132","","1165","4849","293","","908","","1064","1395"," 104年  2015 r ","2282","","7199","","30504","","30971","","4558","28235","834","1","1068","3349","2766","229","2006","5569",
" 105年  2016 r ","114306","","67194","177","117","","73","56","39815","","18218","","1482","160","934","","225","","51354","2317"," 105年  2016 r ","6434","15001","2366","3312","2191","7148","588","","1322","","124","1255","506","","714","","1483","1815"," 105年  2016 r ","","2696","","3723","","407","","186","488","","2954","","1527","5903","329","","1074","","1332","1694"," 105年  2016 r ","1346","","6964","","30086","","31056","","4595","28246","834","0","1186","2205","1575","117","1529","5657",
" 資料來源： 勞動部職業安全衛生署。 ","","","","","","","","","  Source：","  Occupational Safety and Health Administration, MOL.","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 說       明： 1.本表為各檢查機構執行勞動檢查情形，104年起"勞動條件"係含各直轄市及縣(市)政府之檢查量。 ","","","","","","","","","  Note   ：","  1.Data series only included the frequency of labor inspection by the labor inspection agency. From 2015, " Working Condition"","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 2.95年8月起針對3K辛苦產業增加150位安全衛生專案檢查員。 ","","","","","","","","","","     include the frequency of labor inspection by the municipal government and the county (city) government.","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 3.94年9月修訂「營造工程檢查會談紀錄」，其中增加勞工保險之查核，因該項目係屬勞動條件之一部分， ","","","","","","","","","","  2.As of Aug. 2006, an increase of 150 ad hoc health and safety inspectors aims to 3K(3D) industries.","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   致勞動條件檢查次量增加。 ","","","","","","","","","","  3.As of Sep. 2005, the increase of the number of labor conditions inspection dues to the fact that labor   insurance inspection","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 4.98年以前依據「中華民國行業標準分類（第7次修訂）」編製，99-101年依據第8次修訂編製，102-104年ˉ ","","","","","","","","","","     was added in labor conditions inspection in a modification of the minutes of civil engineering inspections meeting.","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   依據第9次修訂編製，105年起依據第10次修訂編製。 ","","","","","","","","","","  4.Data series were classified before 2009 refer to Standard Industrial Classification System of R.O.C, Rev.7. Data series from","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"","     2010 to 2012 refer to Rev.8. Data series from 2013 to 2015 refer to Rev.9. Data series from 2016 refer to Rev.10.","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","","","   -244-","","","","","","","","","","","   -245-","","","","","",""," ","","   -246-","","","","","","","","","","   -247-","","","","","",""," ","","","   -248-","","","","","","","","","","","   -249-","","","","","",""," ","","","   -250-","","","","","","","","","","","   -251-","","","","",
