" 表 10-3 經指定填報職業災害統計之事業單位概況 ","","","","","","  Table 10-3  General Condition of the Designated Industries Compile Reports","","","","","","","",
"  87年  1998 ","10140","1380237","393638956","3242960501","6874","2.11","5676","141","12","153","5370","1042740","321",
"  88年  1999 ","9672","1386507","384766005","3379364844","7171","2.12","5862","118","10","120","5614","817434","241",
"  89年  2000 ","9377","1374514","416675839","3188100606","6805","2.13","5986","103","13","128","5742","714516","224",
"  90年  2001 ","8645","1347006","340887620","2883508335","5378","1.86","4493","76","3","71","4343","539753","187",
"  91年  2002 ","7928","1206580","343891944","2606347994","4692","1.8","3271","71","4","31","3165","475763","182",
"  92年  2003 ","7424","1248227","332314535","2803050761","5365","1.91","4037","61","2","54","3920","414814","147",
"  93年  2004 ","8099","1396492","370559379","3084917381","6047","1.96","4318","75","3","61","4179","559323","181",
" ","  陳報事業","  工作者數","","","","","  失 能 傷 害 次 數(人次)","","  Times of disability (Person-case)","","","  總損失工作","  失能傷害",
" ","","","  總工作日數","  總經歷工時","  失能傷害次數","  失能傷害頻率","","","","","","","",
" 年           別 ","  單  位  數","  (人)","     (工作天)","         (時)","  　　(人次)","       (3)","","","","","","  日           數","  嚴  重  率",
" ","    (家) (1)","  (2)","","","","","  計","  死        亡","  永久全失能","  永久部分失能","  暫時全失能","        (日)","     (4)ˉ",
,,,,,,"","","       (人)","         (人)","       (人次)","     (人次)","","",
" Year ","  business entities Reporting","  Workers(Person)","  Total work days        (Day)"," Total person-work         hours","     Times of   disability","  Frequency","","   Deaths"," Permanent total","       Permanent","    Temporary","  Total","  Severity of",
,,,,,,"        of","  Total","","      disability","  partial disability","  total disability","  work days lost","",
" ","  (Establishment)","","","         (Hour)","  (Person-case)ˉ","","","  (Person)","","","","","   disability",
,,,,,,"  disability","","","      (Person)","     (Person-case)","   (Person-case)","  (Day)","",
"  94年  2005 ","9058","1922821","499157126","4059950075","10196","2.51","10196","135","15","280","9766","1320622","325",
"  95年  2006 ","12457","2559502","658605717","5359578449","11466","2.13","11466","103","15","321","11027","1172562","218",
"  96年  2007 ","13107","2646609","685653231","5548733640","12246","2.2","12246","102","14","338","11792","1179131","212",
"  97年  2008 ","13637","2723323","701290726","5716555136","11920","2.08","11920","77","15","334","11494","949056","166",
"  98年  2009 ","13869","2630613","673071072","5476121770","10497","1.91","10497","81","11","276","10129","938828","171",
"  99年  2010 ","14328","2786603","721143705","5887832289","11553","1.96","11553","89","7","326","11131","951031","161",
" 100年  2011 ","14926","3033182","770490849","6292982481","11492","1.82","11492","80","12","308","11092","896976","142",
" 101年  2012 ","15614","3176406","813002038","6634264696","11413","1.72","11413","70","6","325","11012","792148","119",
" 102年  2013 ","16245","3253022","827700640","6815783923","11318","1.66","11318","66","7","300","10945","803041","117",
" 103年  2014 ","16760","3375920","858257245","7019168883","11561","1.64","11561","71","10","295","11185","826563","117",
" 104年  2015 ","16795","3627315","906741057","7375848881","11198","1.51","11198","92","5","241","10860","932306","126",
" 105年  2016 ","17614","3858689","937656384","7622460667","10668","1.39","10668","78","5","236","10349","817219","107",
" 資料來源： 勞動部職業安全衛生署。 ","","","","","","  Source： Occupational Safety and Health Administration, MOL.","","","","","","","",
" 說　　明： 1.本表資料係依「職業安全衛生法」第三十八條及施行細則第五十一條，由雇主按月填載職業災害內容及統 ","","","","","","  Note： 1.This table is compiled from the monthly occupational accidents reports and statistics submitted by employers in accordance","","","","","","","",
"    計彙總。 ","","","","","","     with provisions of Article 38 of the "Occupational Safety and Health Act" and Article 51 of the "Enforcement Rules of the","","","","","","","",
" 2.因94年修訂職業災害統計表及修正職業災害填報方法，故與93年以前資料無法比較。 ","","","","","","     Occupational Safety and Health Act".","","","","","","","",
" 附　　註： (1).陳報事業單位數及僱用勞工數各年資料為年平均值。 ","","","","","","  2.The current data can not be compared with the data prior to 2004 because we revised the content of occupational disaster statistics","","","","","","","",
,,,,,,"     tables and amended the method of submitting occupational disaster in 2005.","","","","","","","",
" (2).工作者數於103年以前係指事業單位僱用之勞工，自104年起係指事業單位僱用之勞工及受工作場所負責人 ","","","","","",,,,,,,,,
"     指揮或監督從事勞動之人。 ","","","","","","  Remark： (1).The year data of reporting enterprises and employee are  year figures add up to the average in a fiscal year.","","","","","","","",
" (3).失能傷害頻率(人次/百萬工時，小數點以下三位不計)＝失能傷害次數／總經歷工時＊1,000,000。 ","","","","","","  (2).The term " workers " referred to in this sheet means laborers prior to 2014,and then it means laborers or other people engaged ˉ","","","","","","","",
,,,,,,"       in work and directed or supervised by the responsible people in workplaces.","","","","","","","",
" (4).失能傷害嚴重率(日/百萬工時，小數點以下不計)＝總損失工作日數／總經歷工時＊1,000,000。 ","","","","","",,,,,,,,,
" (5).本表不含上下班交通事故。 ","","","","","","  (3).Frequency of disability (excluding after the third decimal point)=Times of disability / Total person-work hours *1,000,000.ˉ","","","","","","","",
,,,,,,"  (4).Severity of disability (excluding after the decimal point)=Total workday lost / Total person-work hours *1,000,000.ˉ","","","","","","","",
,,,,,,"  (5).Data series in the table exclude the traffic accidents on the commute.ˉ","","","","","","","",
" ","","   -254-","","","","","","","   -255-","","","","",
