,,,,,,,,,,,,,,,,,,,,,,,,,," Electricity & gas supply","","","","","",,,,,,,," Electricity & gas supply","","","","","",,,,,,,,
" 　皮革、毛皮及其製品","38","1","11","2","3","1","0","9","5","0","0","3"," 　皮革、毛皮及其製品","0","0","0","0","0","2","1","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　Leather, fur & related products","","","","","",,,,,,,," 　Leather, fur & related products","","","","","",,,,,,,," 用水供應及污染整治業","184","19","38","13","3","0","11","13","31","2","0","5"," 用水供應及污染整治業","2","0","1","2","0","6","17","11","4","0","0","6",
,,,,,,,,,,,,,,,,,,,,,,,,,," Water supply & remediation activities","","","","","",,,,,,,," Water supply & remediation activities","","","","","",,,,,,,,
" 　木竹製品","17","1","3","0","0","0","1","7","4","0","0","1"," 　木竹製品","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　Wood & of products of wood & bamboo","","","","","",,,,,,,," 　Wood & of products of wood & bamboo","","","","","",,,,,,,," 營建工程業","253","44","38","2","21","16","7","34","26","4","0","4"," 營建工程業","3","3","1","3","0","9","26","3","8","0","0","1",
" 　紙漿、紙及紙製品","116","5","13","1","2","3","9","50","10","2","0","0"," 　紙漿、紙及紙製品","3","2","0","0","0","8","7","0","1","0","0","0"," Construction","","","","","",,,,,,,," Construction","","","","","",,,,,,,,
" 　Paper & paper products","","","","","",,,,,,,," 　Paper & paper products","","","","","",,,,,,,," 批發及零售業","770","50","157","57","25","30","62","54","146","8","0","26"," 批發及零售業","7","0","0","0","0","69","32","9","33","0","0","5",
" 　印刷及資料儲存媒體複製","46","0","4","2","0","1","2","22","8","1","0","0"," 　印刷及資料儲存媒體複製","1","0","0","0","0","4","0","1","0","0","0","0"," Wholesale & retail trade","","","","","",,,,,,,," Wholesale & retail trade","","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,," 運輸及倉儲業","1374","55","376","77","65","22","120","90","72","20","0","34"," 運輸及倉儲業","3","2","1","1","1","91","111","12","192","2","0","27",
" 　Printing & reproduction of recorded media","","","","","",,,,,,,," 　Printing & reproduction of recorded media","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　石油及煤製品","4","0","2","0","0","0","0","0","1","0","0","1"," 　石油及煤製品","0","0","0","0","0","0","0","0","0","0","0","0"," Transportation & storage","","","","","",,,,,,,," Transportation & storage","","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,," 住宿及餐飲業","1019","20","238","25","18","20","58","28","264","3","0","191"," 住宿及餐飲業","13","1","3","1","0","44","69","12","9","0","0","2",
" 　Petroleum & coal products","","","","","",,,,,,,," 　Petroleum & coal products","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　化學原材料、肥料、氮化合物、塑橡膠","161","10","32","2","4","4","10","25","13","3","0","21"," 　化學原材料、肥料、氮化合物、塑橡膠","15","0","0","1","3","5","11","0","0","0","0","2"," Accommodation & food service activities","","","","","",,,,,,,," Accommodation & food service activities","","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,," 出版、影音製作、傳播及資通訊服務業","90","19","23","5","2","0","5","3","1","0","0","0"," 出版、影音製作、傳播及資通訊服務業","0","0","0","0","0","5","8","2","8","0","0","9",
" 　原料及人造纖維","","","","","",,,,,,,," 　原料及人造纖維","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　Chemical material, fertilizers & nitrogen","","","","","",,,,,,,," 　Chemical material, fertilizers & nitrogen","","","","","",,,,,,,," Information & communication","","","","","",,,,,,,," Information & communication","","","","","",,,,,,,,
" 　compounds, plastic & rubber materials,","","","","","",,,,,,,," 　compounds, plastic & rubber materials,","","","","","",,,,,,,," 金融及保險業","272","4","94","10","0","1","10","9","5","1","0","1"," 金融及保險業","0","0","1","0","0","10","8","1","100","0","0","17",
" 　man-made fibres","","","","","",,,,,,,," 　man-made fibres","","","","","",,,,,,,," Financial & insurance activities","","","","","",,,,,,,," Financial & insurance activities","","","","","",,,,,,,,
" 　其他化學製品","118","4","22","5","3","2","5","13","8","2","0","12"," 　其他化學製品","13","2","1","0","5","10","4","1","6","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,," 不動產業","77","5","15","3","1","0","3","4","6","0","0","1"," 不動產業","0","1","0","0","1","0","4","1","32","0","0","0",
" 　Other chemical products","","","","","",,,,,,,," 　Other chemical products","","","","","",,,,,,,," Real estate activities","","","","","",,,,,,,," Real estate activities","","","","","",,,,,,,,
" 　藥品及醫用化學製品","81","1","14","4","1","0","4","18","11","0","0","4"," 　藥品及醫用化學製品","7","0","0","1","0","7","6","0","2","0","0","1"," 專業、科學及技術服務業","102","8","42","0","1","1","6","3","11","0","0","4"," 專業、科學及技術服務業","2","0","0","0","0","8","5","3","5","0","0","3",
" 　Pharmaceuticals & medicinal chemical","","","","","",,,,,,,," 　Pharmaceuticals & medicinal chemical","","","","","",,,,,,,," Professional, scientific & technical activities","","","","","",,,,,,,," Professional, scientific & technical activities","","","","","",,,,,,,,
" 　products","","","","","",,,,,,,," 　products","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,," 支援服務業","266","25","88","12","4","4","26","8","18","1","0","4"," 支援服務業","1","0","0","0","0","7","34","3","26","0","0","5",
" 　橡膠製品","169","3","12","10","7","4","12","60","31","0","0","4"," 　橡膠製品","2","1","0","0","2","5","14","0","1","0","0","1"," Support service activities","","","","","",,,,,,,," Support service activities","","","","","",,,,,,,,
" 　Rubber products","","","","","",,,,,,,," 　Rubber products","","","","","",,,,,,,," 公共行政及國防；強制性社會安全","285","24","70","7","9","4","17","14","43","3","0","1"," 公共行政及國防；強制性社會安全","3","0","1","0","0","18","28","5","26","0","0","12",
" 　塑膠製品","244","10","25","7","6","3","22","75","49","0","0","7"," 　塑膠製品","1","1","0","3","1","21","10","1","2","0","0","0"," Public administration & defence;","","","","","",,,,,,,," Public administration & defence;","","","","","",,,,,,,,
" 　Plastics products","","","","","",,,,,,,," 　Plastics products","","","","","",,,,,,,," Compulsory social security","","","","","",,,,,,,," Compulsory social security","","","","","",,,,,,,,
" 　非金屬礦物製品","204","14","30","4","13","5","13","38","50","1","0","13"," 　非金屬礦物製品","0","1","0","1","0","7","10","2","0","0","0","2",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,," 教育業","30","3","11","0","0","2","4","2","3","0","0","0"," 教育業","0","0","0","0","0","0","1","1","3","0","0","0",
" 　Other non-metallic mineral products","","","","","",,,,,,,," 　Other non-metallic mineral products","","","","","",,,,,,,," Education","","","","","",,,,,,,," Education","","","","","",,,,,,,,
" 　基本金屬","276","14","21","4","11","14","22","78","26","0","0","29"," 　基本金屬","6","1","0","0","3","23","18","3","1","0","0","2"," 醫療保健及社會工作服務業","532","16","148","14","6","4","23","30","38","2","0","10"," 醫療保健及社會工作服務業","13","4","1","1","2","52","142","17","7","0","0","2",
" 　Basic Metals","","","","","",,,,,,,," 　Basic Metals","","","","","",,,,,,,," Human health & social work activities","","","","","",,,,,,,," Human health & social work activities","","","","","",,,,,,,,
" 　金屬製品","740","26","71","6","37","33","41","220","132","5","0","17"," 　金屬製品","32","1","1","5","2","61","41","4","4","0","0","1"," 藝術、娛樂及休閒服務業","84","6","27","0","2","1","0","3","5","1","0","9"," 藝術、娛樂及休閒服務業","0","0","1","0","0","14","9","2","3","0","0","1",
" 　Fabricated metal products","","","","","",,,,,,,," 　Fabricated metal products","","","","","",,,,,,,," Arts, entertainment & recreation","","","","","",,,,,,,," Arts, entertainment & recreation","","","","","",,,,,,,,
" 　電子零組件","934","40","218","42","30","25","47","155","137","7","0","10"," 　電子零組件","65","7","1","2","1","46","67","10","14","0","0","10"," 其他服務業","27","4","4","4","1","0","4","1","1","0","0","0"," 其他服務業","0","0","0","0","1","2","1","0","2","0","0","2",
" 　Electronic parts & components","","","","","",,,,,,,," 　Electronic parts & components","","","","","",,,,,,,," Other service activities","","","","","",,,,,,,," Other service activities","","","","","",,,,,,,,
"  資料來源："," 勞動部職業安全衛生署。","","","",""," Source：  Occupational Safety and Health Administration, MOL.","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  說　　明："," 1.本表資料係依「職業安全衛生法」第三十八條及施行細則第五十一條，由雇主按月填載職業災害內容及統","","","",""," Note：  1.This table is compiled from the monthly occupational accidents reports and statistics submitted by employers in accordance","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","    計彙總。","","","","","     with provisions of Article 38 of the "Occupational Safety and Health Act" and Article 51 of the "Enforcement Rules of the","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
""," 2.依據「中華民國行業標準分類（第10次修訂）」編製。  ˉ","","","","","     Occupational Safety and Health Act".","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  附　　註："," 本表不含上下班交通事故。","","","","","  2.Data series were classified refer to Standard Industrial Classification System of R.O.C, Rev.10.","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,," Remark：  Data series in the table exclude the traffic accidents on the commute.","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","","  -262-","","","","","","","   -263-","","","","","","  -264-","","","","","","","   -265-","","","","","","  -266-","","","","","","","   -267-","","","","","","  -268-","","","","","","","   -269-","","","",
