"  表 10-11 經指定填報職業災害統計之事業單位罹災者受傷部位－按行業分","","","","","","","","","",""," Table 10-11 Injured Positions of the Person Suffering in Disaster of the Designated Industries","","","","","","","","","","","","","","","  表 10-11 經指定填報職業災害統計之事業單位罹災者受傷部位－按行業分(續)","","","","","","","","","",""," Table 10-11 Injured Positions of the Person Suffering in Disaster of the Designated Industries","","","","","","","","","","","","","","",
" Mining & quarrying","","","","","","","","","","",,,,,,,,,,,,,,,," 　Machinery & equipment","","","","","","","","","","",,,,,,,,,,,,,,,,
" 製造業","6309","383","218","69","117","11","60","178","104","170","106","46","174","1026","1664","48","108","10","32","272","384","803","22","22","282"," 　汽車及其零件","174","10","4","2","3","0","1","4","3","2","1","1","5","36","66","3","3","1","0","4","7","15","0","1","2",
" Manufacturing","","","","","","","","","","",,,,,,,,,,,,,,,," 　Motor vehicles & parts","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　食品及飼品","536","30","18","3","10","1","7","19","10","18","16","4","24","80","152","4","14","0","2","18","25","56","1","2","22"," 　其他運輸工具及其零件","250","20","16","3","6","1","3","5","3","5","7","3","4","34","72","1","5","1","2","10","10","28","0","1","10",
" 　Food products & prepared animal feeds","","","","","","","","","","",,,,,,,,,,,,,,,," 　Other transport equipment & parts","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　飲料","40","7","1","0","2","0","0","2","0","0","0","0","2","4","3","0","0","0","0","2","4","13","0","0","0"," 　家具","39","1","1","0","0","0","0","1","0","4","0","0","0","8","16","0","1","0","0","1","2","4","0","0","0",
,,,,,,,,,,,,,,,,,,,,,,,,,," 　Furniture","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　Beverages","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　菸草","3","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"," 　其他","198","8","6","0","4","0","3","6","4","7","0","1","6","50","60","0","4","0","0","4","8","20","0","0","7",
" 　Tobacco products","","","","","","","","","","",,,,,,,,,,,,,,,," 　Other manufacturing","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　紡織","218","10","4","7","6","1","4","9","3","8","2","2","6","38","44","3","3","0","0","9","23","31","0","1","4"," 　產業用機械設備維修及安裝","15","3","0","0","0","0","0","0","0","2","0","0","2","0","3","0","0","0","0","0","1","2","1","0","1",
" 　Textiles","","","","","","","","","","",,,,,,,,,,,,,,,," 　Repair and installation of industrial","","","","","","","","","","",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,," 　machinery and equipment","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　成衣及服飾品","42","2","0","1","2","0","2","2","0","1","0","0","1","6","9","0","1","0","0","3","4","6","0","0","2",,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　Wearing apparel & clothing accessories","","","","","","","","","","",,,,,,,,,,,,,,,," 電力及燃氣供應業","67","8","3","2","2","3","0","2","1","3","5","2","1","13","4","1","1","0","0","2","3","4","0","3","4",
,,,,,,,,,,,,,,,,,,,,,,,,,," Electricity & gas supply","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　皮革、毛皮及其製品","43","3","0","1","1","0","0","1","2","1","0","0","0","7","13","1","1","1","2","4","0","3","0","0","2",,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　Leather, fur & related products","","","","","","","","","","",,,,,,,,,,,,,,,," 用水供應及污染整治業","255","19","14","5","10","1","3","10","3","19","12","6","6","35","19","1","2","0","1","15","24","36","0","2","12",
,,,,,,,,,,,,,,,,,,,,,,,,,," Water supply & remediation activities","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　木竹製品","19","0","0","0","0","0","0","0","0","1","0","0","1","4","8","0","0","0","0","0","1","3","0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　Wood & of products of wood & bamboo","","","","","","","","","","",,,,,,,,,,,,,,,," 營建工程業","337","24","17","8","8","2","4","10","3","5","18","13","11","47","45","6","9","0","5","6","31","46","1","5","13",
,,,,,,,,,,,,,,,,,,,,,,,,,," Construction","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　紙漿、紙及紙製品","137","6","4","1","2","0","0","3","2","5","1","0","1","29","37","4","3","0","0","3","13","17","0","1","5",,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　Paper & paper products","","","","","","","","","","",,,,,,,,,,,,,,,," 批發及零售業","994","81","29","13","34","3","10","38","9","25","13","8","38","127","156","4","18","0","8","70","91","149","0","1","69",
" 　印刷及資料儲存媒體複製","52","1","2","0","0","0","1","0","1","0","0","1","3","11","20","0","0","0","0","1","1","7","0","0","3"," Wholesale & retail trade","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　Printing & reproduction of recorded media","","","","","","","","","","",,,,,,,,,,,,,,,," 運輸及倉儲業","1867","133","61","29","71","15","10","89","22","50","53","30","81","210","143","7","24","4","17","182","182","359","5","4","86",
" 　石油及煤製品","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","2","0","0","0"," Transportation & storage","","","","","","","","","","",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,," 住宿及餐飲業","1247","61","43","18","20","3","9","34","13","21","23","7","43","282","210","9","35","3","9","55","87","205","1","1","55",
" 　Petroleum & coal products","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　化學原材料、肥料、氮化合物、塑橡膠","205","19","18","7","6","0","2","5","2","5","6","4","9","28","31","1","3","1","4","10","15","20","0","3","6"," Accommodation & food service activities","","","","","","","","","","",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,," 出版、影音製作、傳播及資通訊服務業","135","12","12","7","4","2","2","7","1","5","2","4","4","19","6","1","3","1","3","5","10","17","0","0","8",
" 　原料及人造纖維","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 　Chemical material, fertilizers & nitrogen","","","","","","","","","","",,,,,,,,,,,,,,,," Information & communication","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　compounds, plastic & rubber materials,","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,," 金融及保險業","432","48","11","4","16","5","1","25","3","7","16","2","13","54","11","3","5","0","7","64","55","73","1","0","8",
" 　man-made fibres","","","","","","","","","","",,,,,,,,,,,,,,,," Financial & insurance activities","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　其他化學製品","156","11","13","2","5","2","2","8","2","5","4","1","8","28","7","1","3","0","2","7","16","15","3","2","9",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,," 不動產業","108","14","4","0","2","0","0","4","1","1","2","0","0","21","7","0","3","0","1","6","5","28","1","0","8",
" 　Other chemical products","","","","","","","","","","",,,,,,,,,,,,,,,," Real estate activities","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　藥品及醫用化學製品","104","6","4","2","3","0","1","1","0","4","2","2","2","16","21","0","2","0","0","5","8","14","0","0","11"," 專業、科學及技術服務業","137","9","6","1","3","3","0","4","3","1","1","1","4","29","10","1","7","0","0","9","11","22","1","1","10",
" 　Pharmaceuticals & medicinal chemical","","","","","","","","","","",,,,,,,,,,,,,,,," Professional, scientific & technical activities","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　products","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,," 支援服務業","380","35","18","5","16","2","5","18","0","10","11","13","7","55","18","3","10","0","5","36","47","48","1","0","17",
" 　橡膠製品","200","18","3","0","5","0","2","4","15","4","2","1","4","22","67","3","4","0","1","6","9","20","1","0","9"," Support service activities","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　Rubber products","","","","","","","","","","",,,,,,,,,,,,,,,," 公共行政及國防；強制性社會安全","394","30","23","9","17","1","2","9","2","14","10","9","18","45","36","1","5","0","3","31","49","51","2","0","27",
" 　塑膠製品","292","16","9","4","4","0","1","9","2","8","0","0","4","65","100","0","3","0","0","13","9","32","0","2","11"," Public administration & defence;","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　Plastics products","","","","","","","","","","",,,,,,,,,,,,,,,," Compulsory social security","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　非金屬礦物製品","248","22","9","3","3","0","3","12","7","3","6","0","3","43","44","2","7","1","3","9","18","46","1","0","3",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,," 教育業","42","5","3","1","0","0","0","2","0","1","0","0","1","6","1","0","1","0","0","5","8","4","0","1","3",
" 　Other non-metallic mineral products","","","","","","","","","","",,,,,,,,,,,,,,,," Education","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　基本金屬","336","9","10","5","8","0","5","7","5","5","6","5","8","38","107","3","5","2","0","8","32","56","0","3","9"," 醫療保健及社會工作服務業","705","47","35","13","33","4","3","13","7","19","15","7","20","93","93","11","19","2","14","63","35","93","1","11","54",
" 　Basic Metals","","","","","","","","","","",,,,,,,,,,,,,,,," Human health & social work activities","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　金屬製品","844","37","26","8","9","0","7","21","6","18","13","6","16","138","295","6","9","1","1","25","54","96","13","1","38"," 藝術、娛樂及休閒服務業","108","8","6","2","5","0","0","2","0","2","1","0","4","16","9","3","5","0","1","6","10","15","0","0","13",
" 　Fabricated metal products","","","","","","","","","","",,,,,,,,,,,,,,,," Arts, entertainment & recreation","","","","","","","","","","",,,,,,,,,,,,,,,,
" 　電子零組件","1190","88","45","16","22","4","9","37","23","37","14","6","42","173","221","9","28","1","11","78","64","181","0","2","79"," 其他服務業","46","3","2","1","1","0","1","0","0","1","4","0","3","9","2","1","3","0","0","0","8","2","0","0","5",
" 　Electronic parts & components","","","","","","","","","","",,,,,,,,,,,,,,,," Other service activities","","","","","","","","","","",,,,,,,,,,,,,,,,
"  資料來源："," 勞動部職業安全衛生署。","","","","","","","","","","  Source：","  Occupational Safety and Health Administration, MOL.","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,
"  說　　明："," 1.本表資料係依「職業安全衛生法」第三十八條及施行細則第五十一條，由雇主按月填載職業災害內容及統","","","","","","","","","","  Note："," 1.This table is compiled from the monthly occupational accidents reports and statistics submitted by employers in accordance","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,
"","    計彙總。","","","","","","","","","","","    with provisions of Article 38 of the "Occupational Safety and Health Act" and Article 51 of the "Enforcement Rules of the","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,
""," 2.依據「中華民國行業標準分類（第10次修訂）」編製。  ˉ","","","","","","","","","","","    Occupational Safety and Health Act".","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,
"  附　　註："," 本表不含上下班交通事故。","","","","","","","","","",""," 2.Data series were classified refer to Standard Industrial Classification System of R.O.C, Rev.10.","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"  Remark：","  Data series in the table exclude the traffic accidents on the commute.","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,
"","","   -290-","","","","","","","","","","","","","","","","  -291-","","","","","","","","","","   -292-","","","","","","","","","","","","","","","","  -293-","","","","","","","",
