" 　雲　林　縣　 Yunlin County","160","34","0","16","2","0","16","30","4","11","15","23","2","0","0"," 　雲　林　縣　 Yunlin County","0","2","10","4","5","8","16","7","9","1","18","30","20","1","9",
" 　嘉　義　縣　 Chiayi County","112","29","1","7","1","0","20","20","2","10","8","20","2","0","0"," 　嘉　義　縣　 Chiayi County","0","3","3","11","1","7","10","2","8","1","5","20","8","5","7",
" 　屏　東　縣　 Pingtung County","190","22","0","6","1","1","14","30","2","10","18","25","1","0","1"," 　屏　東　縣　 Pingtung County","0","1","8","11","3","7","37","1","36","1","26","42","17","9","16",
" 　臺　東　縣　 Taitung County","26","4","0","2","1","0","1","8","0","2","6","1","0","0","0"," 　臺　東　縣　 Taitung County","1","0","0","0","0","4","2","0","2","0","2","5","4","0","1",
" 　花　蓮　縣　 Hwalien County","64","5","0","2","1","1","1","10","0","0","10","8","1","0","0"," 　花　蓮　縣　 Hwalien County","0","1","1","2","3","3","3","0","3","1","18","16","9","4","3",
" 　澎　湖　縣　 Penghu County","5","0","0","0","0","0","0","1","0","0","1","0","0","0","0"," 　澎　湖　縣　 Penghu County","0","0","0","0","0","1","0","0","0","0","1","2","2","0","0",
" 　基　隆　市　 Keelung City","98","4","0","1","0","0","3","25","3","4","18","14","1","0","2"," 　基　隆　市　 Keelung City","0","0","3","8","0","9","19","2","17","2","9","16","9","3","4",
" 　新　竹　市　 Hsinchu City","139","9","0","3","0","1","5","42","1","7","34","23","3","0","0"," 　新　竹　市　 Hsinchu City","0","0","8","10","2","12","4","0","4","1","15","33","13","4","16",
" 　嘉　義　市　 Chiayi City","43","3","0","2","0","0","1","10","2","0","8","8","0","0","1"," 　嘉　義　市　 Chiayi City","0","1","1","4","1","1","5","0","5","1","11","4","4","0","0",
" 　金　門　縣　 Kinmen County","18","0","0","0","0","0","0","2","1","0","1","5","2","0","0"," 　金　門　縣　 Kinmen County","0","0","1","2","0","7","1","0","1","2","0","1","0","1","0",
" 　連　江　縣　 Lienchiang County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 　連　江　縣　 Lienchiang County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
" 　加  工  出  口  區","253","44","1","12","1","0","30","24","3","12","9","52","0","1","2"," 　加  工  出  口  區","1","3","10","13","22","30","21","7","14","5","17","60","44","2","14",
" 　Export  Processing  Zones","","","","","","","",,,,,,,,," 　Export  Processing  Zones","","","","","","",,,,,,,,,,
" 　新竹科學工業園區","153","15","1","5","1","0","8","14","0","2","12","26","1","2","0"," 　新竹科學工業園區","0","1","9","5","8","21","14","7","7","6","22","35","17","13","5",
" 　Hsinchu Science Park","","","","","","","",,,,,,,,," 　Hsinchu Science Park","","","","","","",,,,,,,,,,
" 　中部科學工業園區","106","20","0","4","0","1","15","8","0","4","4","21","0","0","0"," 　中部科學工業園區","0","0","8","5","8","12","18","3","15","3","5","19","15","3","1",
" 　Central Taiwan Science Park","","","","","","","",,,,,,,,," 　Central Taiwan Science Park","","","","","","",,,,,,,,,,
" 　南部科學工業園區","128","19","1","3","0","0","15","11","0","2","9","17","0","2","0"," 　南部科學工業園區","1","0","1","1","12","3","20","5","15","0","12","46","14","0","32",
" 　Southern Taiwan Science Park","","","","","","","",,,,,,,,," 　Southern Taiwan Science Park","","","","","","",,,,,,,,,,
" 　全　國　礦　場","6","0","0","0","0","0","0","1","0","0","1","1","0","0","0"," 　全　國　礦　場","0","0","1","0","0","1","2","0","2","0","0","1","0","1","0",
" 　Mine","","","","","","","",,,,,,,,," 　Mine","","","","","","",,,,,,,,,,
" 資料來源： 勞動部職業安全衛生署。","","","","","","",""," Source：  Occupational Safety and Health Administration, MOL.","","","","","","","",,,,,,,,,,,,,,,,,
" 說　　明： 本表資料係依「職業安全衛生法」第三十八條及施行細則第五十一條，由雇主按月填載職業災害內容及統計","","","","","","",""," Note：  This table is compiled from the monthly occupational accidents reports and statistics submitted by employers in accordance with","","","","","","","",,,,,,,,,,,,,,,,,
"  彙總。","","","","","","","","  provisions of Article 38 of the "Occupational Safety and Health Act" and Article 51 of the "Enforcement Rules of the Occupational","","","","","","","",,,,,,,,,,,,,,,,,
" 附　　註： 本表不含上下班交通事故。","","","","","","","","  Safety and Health Act".","","","","","","","",,,,,,,,,,,,,,,,,
,,,,,,,," Remark：  Data series in the table exclude the traffic accidents on the commute.","","","","","","","",,,,,,,,,,,,,,,,,
"","","   -282-","","","","","","","","","   -283-","","","","","","","   -284-","","","","","","","","","  -285-","","","","",
