" 踩踏","85","3","0","2","0","0","1","7","1","5","1","11","1","0","0"," 踩踏","0","0","1","4","5","23","11","1","10","1","7","22","9","9","4",
" Tread down","","","","","","","",,,,,,,,," Tread down","","","","","","",,,,,,,,,,
" 溺水","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 溺水","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",
" Drown","","","","","","","",,,,,,,,," Drown","","","","","","",,,,,,,,,,
" 與高溫、低溫之接觸","495","11","1","1","0","1","8","11","1","5","5","92","33","3","15"," 與高溫、低溫之接觸","13","5","3","5","15","2","48","24","24","2","194","135","108","3","24",
" Hot or low temperature","","","","","","","",,,,,,,,," Hot or low temperature","","","","","","",,,,,,,,,,
" 與有害物之接觸","225","1","0","0","0","0","1","1","0","0","1","32","9","11","3"," 與有害物之接觸","0","2","3","2","2","5","169","166","3","1","7","9","7","1","1",
" Contact with hazard","","","","","","","",,,,,,,,," Contact with hazard","","","","","","",,,,,,,,,,
" 感電","40","3","1","0","0","0","2","0","0","0","0","32","1","0","0"," 感電","0","29","0","1","1","0","1","1","0","0","2","2","1","0","1",
" Electrical accident","","","","","","","",,,,,,,,," Electrical accident","","","","","","",,,,,,,,,,
" 爆炸","17","0","0","0","0","0","0","0","0","0","0","9","2","0","1"," 爆炸","1","5","0","0","0","0","6","6","0","1","1","0","0","0","0",
" Explosion","","","","","","","",,,,,,,,," Explosion","","","","","","",,,,,,,,,,
" 物體破裂","29","8","0","2","0","0","6","0","0","0","0","4","1","0","0"," 物體破裂","0","0","1","0","2","0","8","3","5","1","4","4","3","0","1",
" Breaking","","","","","","","",,,,,,,,," Breaking","","","","","","",,,,,,,,,,
" 火災","26","3","0","0","0","0","3","0","0","0","0","3","0","0","0"," 火災","0","1","2","0","0","2","14","11","3","0","1","3","0","1","2",
" Fire","","","","","","","",,,,,,,,," Fire","","","","","","",,,,,,,,,,
" 不當動作","667","56","1","8","1","3","43","44","10","17","17","134","3","0","3"," 不當動作","1","17","31","48","31","15","49","5","44","91","64","214","89","66","59",
" Improper act","","","","","","","",,,,,,,,," Improper act","","","","","","",,,,,,,,,,
" 其他","769","53","0","8","2","4","39","75","10","26","39","64","3","0","1"," 其他","0","5","17","21","17","17","58","12","46","15","123","364","208","61","95",
" Others","","","","","","","",,,,,,,,," Others","","","","","","",,,,,,,,,,
" 無法歸類者","118","1","0","0","0","0","1","7","1","4","2","4","0","0","0"," 無法歸類者","1","0","1","2","0","2","7","1","6","1","12","84","17","20","47",
" Non-classified","","","","","","","",,,,,,,,," Non-classified","","","","","","",,,,,,,,,,
" 交通事故","656","4","0","3","0","0","1","583","1","21","561","4","0","0","2"," 交通事故","0","1","0","1","0","9","2","0","2","0","15","39","21","6","12",
" Traffic accident","","","","","","","",,,,,,,,," Traffic accident","","","","","","",,,,,,,,,,
" 　公路","533","2","0","1","0","0","1","478","1","16","461","2","0","0","1"," 　公路","0","1","0","0","0","8","2","0","2","0","14","27","19","5","3",
" 　Road","","","","","","","",,,,,,,,," 　Road","","","","","","",,,,,,,,,,
" 　鐵路","2","0","0","0","0","0","0","2","0","0","2","0","0","0","0"," 　鐵路","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
" 　Railroad","","","","","","","",,,,,,,,," 　Railroad","","","","","","",,,,,,,,,,
" 　船舶、航空器","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 　船舶、航空器","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
" 　Ship or airplane","","","","","","","",,,,,,,,," 　Ship or airplane","","","","","","",,,,,,,,,,
" 　其他","121","2","0","2","0","0","0","103","0","5","98","2","0","0","1"," 　其他","0","0","0","1","0","1","0","0","0","0","1","12","2","1","9",
" 　Others","","","","","","","",,,,,,,,," 　Others","","","","","","",,,,,,,,,,
" 資料來源：  勞動部職業安全衛生署。","","","","","","",""," Source：  Occupational Safety and Health Administration, MOL.","","","","","","","",,,,,,,,,,,,,,,,,
" 說　　明：  本表資料係依「職業安全衛生法」第三十八條及施行細則第五十一條，由雇主按月填載職業災害內容及統計","","","","","","",""," Note：  This table is compiled from the monthly occupational accidents reports and statistics submitted by employers in accordance with","","","","","","","",,,,,,,,,,,,,,,,,
"  彙總。","","","","","","","","  provisions of Article 38 of the "Occupational Safety and Health Act" and Article 51 of the "Enforcement Rules of the Occupational","","","","","","","",,,,,,,,,,,,,,,,,
" 附　　註：  本表不含上下班交通事故。","","","","","","","","  Safety and Health Act".","","","","","","","",,,,,,,,,,,,,,,,,
,,,,,,,," Remark：  Data series in the table exclude the traffic accidents on the commute.","","","","","","","",,,,,,,,,,,,,,,,,
"","","   -286-","","","","","","","","","   -287-","","","","","","","   -288-","","","","","","","","","  -289-","","","","",
