" 表 7-3 就業保險應計保險費與實計保險給付 ","","","","","","  Table 7-3 Premium Receivable and Real Benefit Payments under Employment Insurance","","","","","","","",
" ","","","",""," 單位：件、千元","","","","","","","  Unit：Case、NT$1,000","",
" 　　  7月 　　 July ","2058116","115392","1574217","25269","561061","3376","157629","2441","54304","41402","770432","42904","30789",
" 　　  8月 　　 Aug. ","2068857","110071","1508184","25031","568636","2567","117613","2601","56468","39509","736527","40363","28940",
" 　　  9月 　　 Sept. ","2084750","103964","1366636","22325","499884","2405","111447","2220","47093","36649","679165","40365","29047",
" 　　 10月 　　 Oct. ","2091910","110756","1562466","27458","612731","2584","122186","2323","49838","40573","750362","37818","27348",
" 　　 11月 　　 Nov. ","2098601","102087","1356216","23839","532589","2041","94345","1856","39173","35960","662393","38391","27717",
" 　　 12月 　　 Dec. ","2104360","157192","1639598","29224","654237","3274","169216","1868","39908","39094","716503","83732","59733",
" 105年  2016 ","25716233","1357027","18270985","324946","7335278","30791","1478182","21917","481880","461808","8607505","517565","368140",
" 　　  1月 　　 Jan. ","2099949","64616","1373167","26897","602319","2556","127171","1066","22615","34151","621073","-54","-11",
" 　　  2月 　　 Feb. ","2093462","57035","1190878","23879","532445","1581","78220","1160","26107","30465","554114","-50","-7",
" 　　  3月 　　 Mar. ","2104540","78303","1672135","33054","743747","2917","140834","1444","33414","40968","754055","-80","85",
" 　　  4月 　　 Apr. ","2105063","188419","1486829","25402","570998","2022","97092","1512","34525","37659","697163","121824","87051",
" 　　  5月 　　 May ","2142566","115452","1526458","27014","607626","2080","100553","1944","44386","39826","742367","44588","31526",
" 　　  6月 　　 June ","2143609","119600","1602719","26871","606075","2910","140729","2304","50822","41222","772861","46293","32231",
" 　　  7月 　　 July ","2142660","117265","1547150","24754","559693","3132","145772","1974","43676","40471","764667","46934","33342",
" 　　  8月 　　 Aug. ","2154557","117831","1668579","28208","640861","3146","148672","2262","48953","42442","800688","41773","29406",
" 　　  9月 　　 Sept. ","2171486","109450","1404634","23090","524201","2374","109176","1899","40444","37216","698680","44871","32134",
" 　　 10月 　　 Oct. ","2178933","116646","1632307","28820","654618","2709","128670","2178","47406","40929","771987","42010","29626",
" 　　 11月 　　 Nov. ","2186834","113347","1532661","27557","625948","2543","122101","2250","49373","37517","704025","43480","31214",
" 　　 12月 　　 Dec. ","2192574","159063","1633467","29400","666747","2821","139192","1924","40160","38942","725824","85976","61543",
" 資料來源： 勞動部勞工保險局。 ","","","","","","  Source： Bureau of Labor Insurance, MOL.","","","","","","","",
" 說       明： 1.就業保險自92年1月1日開始實施，本表統計資料同時編列。 ","","","","","","  Note： 1.The scheme implemented from Jan. 1, 2003. This table is addition from the same time.","","","","","","","",
" 2.全民健保保險費補助負值部分，係因追回撤銷失業給付認定者之補助。 ","","","","","","  2.The negative value of National Health Insurance premium support was owing to retrieving repeale unemployment confirmation.","","","","","","","",
" 3.自96年1月起全民健康保險保險費補助對象為失業之被保險人及隨同被保險人辦理加保之眷屬。 ","","","","","","  3.Since 2007, the target of the National Health Insurance premium support includes the unemployed insured person and the","","","","","","","",
" 4.98年5月施行就業保險法修正，規定年滿十五歲以上，六十五歲以下之受僱勞工（含本國人及獲准依法居留 ","","","","","","     dependents insured along with the insured person.","","","","","","","",
"    在臺灣地區工作之本國人的外籍配偶），應以其雇主或所屬機構為投保單位，參加本保險。 ","","","","","","  4.According to the amendment of Employment Insurance in May 2009, an employed worker over 15 and under 65 years of age (","","","","","","","",
" 5.98年5月起修正就業保險法，就業保險給付項目增加育嬰留職停薪津貼。 ","","","","","","     including an ROC nationals or a foreign national married to an ROC citizen and having acquired legal residency in ROC ) is","","","","","","","",
,,,,,,"     required to join this employment insurance program as an insured person through his employer or the organization to which he","","","","","","","",
,,,,,,"     or she belongs.","","","","","","","",
,,,,,,"  5.According to the amendment of Employment Insurance in May 2009, real benefit payments types of Employment Insurance add","","","","","","","",
,,,,,,"     Parental leave allowances.","","","","","","","",
" ","","   -216-","","","","","","","   -217-","","","","",
