" 103年  2014 ","636290","4214","0.66","251270","1685","0.67","141441","836","0.59","80596","430","0.53","162973","1262","0.77","10","1","10",
" 104年  2015 ","682175","4432","0.65","264215","1754","0.66","153197","980","0.64","80460","467","0.58","184299","1230","0.67","4","1","25",
" 105年  2016 ","748654","3431","0.46","274800","1460","0.53","173830","689","0.4","82698","351","0.42","217324","930","0.43","2","1","50",
" 資料來源： 衛生福利部。 ","","","","","","","","",""," Source：  Ministry of Health and Welfare.","","","","","","","","",
"  說       明： 1.非初次入境健康檢查自93年1月15日起,免辦理12個月及24個月之健康檢查,以致健檢人數減少。 ","","","","","","","","",""," Note：  1.Beginning 2004, because the not first-time ingress of foreign workers do not need to transact the health check of the twelfth and","","","","","","","","",
" 2.自98年2月28日起，腸內寄生蟲檢出人芽囊原蟲者，改列為「合格」。 ","","","","","","","","","","     twenty-fourth month, so No. of persons receiving check are decreasing.","","","","","","","","",
" 3.本表尚包含依就業服務法第四十六條第一項第十一款規定工作之外國人。 ","","","","","","","","","","  2.The existence of blastocystis hominis detected by intestinal parasite screening was considered to be "normal" since Feb. 28, 2009.","","","","","","","","",
" 4.「其他」包含馬來西亞、蒙古等其他國籍。 ","","","","","","","","","","  3.The foreign workers in the table include the foreign workers stipulated in accordance with Subparagraphs 11 of Paragraph 1","","","","","","","","",
" 5.87年以前不合格數以人數統計，自88年起改以人次統計。 ","","","","","","","","","","     of Article 46 of the Employment Services Act.","","","","","","","","",
,,,,,,,,,,"  4.”Others” includes Malaysia, Mongolia, and other countries.","","","","","","","","",
,,,,,,,,,,"  5.Before 1999, the calculation for those failing the check was based upon the number of people.  This was changed in 1999, and it","","","","","","","","",
,,,,,,,,,,"     has been based upon the person-times or number of checks done starting that year.","","","","","","","","",
" ","","","","   -372-","","","","","","","","","","  -373-","","","","",
