" ",""," 表 11-1 就業服務概況","","","","","","  Table 11-1 Status of Employment Services","","","","",
" 　　  7月 　　 July ","62230","168265","110278","191196","1.77","1.14","15259","45422","21284","73630","72.99","66.77",
" 　　  8月 　　 Aug. ","66234","169540","116941","201425","1.77","1.19","16907","46766","24818","76034","70.61","65.02",
" 　　  9月 　　 Sept. ","59496","164025","99598","187163","1.67","1.14","12977","43966","22985","75494","73.9","75.8",
" 　　 10月 　　 Oct. ","63336","165954","109064","181628","1.72","1.09","16824","48303","20683","71628","76.26","65.68",
" 　　 11月 　　 Nov. ","62526","164299","106918","189410","1.71","1.15","17069","49265","24120","75881","78.79","70.97",
" 　　 12月 　　 Dec. ","54829","154670","85389","162789","1.56","1.05","10422","37991","19893","77123","69.29","90.32",
" 資料來源： 勞動部勞動力發展署。 ","","","","","",""," Source：  Workforce Development Agency, MOL.","","","","","",
" 說　　明： 1.自94年1月1日起，青年發展署就業服務網路改由勞動力發展署網際就業服務中心負責處理，求職人數、求 ","","","","","",""," Note：  1.Beginning in January 2005,Workforce Development Agency is in charge of Internet Employment Services System of Youth","","","","","",
"    才人數係新登記資料(含青年發展署資料)。 ","","","","","","","     Development Administration. The "Job seekers" and "Job openings" are new registration data (including the data of Youth","","","","","",
" 2.配合勞動力發展署新建置網際網路就業服務系統之啟用，本表自93年5月起，原來之「推介就業人數」分為 ","","","","","","","     Development Administration).","","","","","",
"    「求職推介就業人數」及「求才僱用人數」2項。 ","","","","","","","  2.To operate in coordination of the eJob of Workforce Development Agency, the data "placement" was separated into "Job seekers","","","","","",
" 3.有效數字以最近2個月為有效期限計列。自93年5月起，屬有期限專案者，依各專案法定期限計。 ","","","","","","","     employed by employment service" and "Job openings filled by employment service" since May 2004.","","","","","",
" 4.95年1月起，增加縣市就業服務據點(係指勞動力發展署補助縣市政府設置之就業服務台)資料。 ","","","","","","","  3.The effective number of applicants placed and openings filled are based on the number of lated two month new applicants and","","","","","",
" 5.97年8月起，納入原住民族委員會就業服務資料；105年10月起，納入國軍退除役官兵輔導委員會資料。 ","","","","","","","     openings.  Data for each employment services project is based on the statutory period since May 2004.","","","","","",
" 6.101年1月起新登記求職與求才人數均不含軍職人員。 ","","","","","","","  4.Beginning in January 2006, the data series include the services in city/county new established employment service stations.","","","","","",
,,,,,,,"  5.Beginning in August 2008,the data series include employment service in the Council of Indigenous Peoples.","","","","","",
,,,,,,,"     Beginning in October 2016,the data series include employment service in Veterans Affairs Council.","","","","","",
,,,,,,,"  6.Since January 2012, the new job seekers and the new job openings don't include military personnel.","","","","","",
" ","","   -308-","","","","","","","   -309-","","","",
