" 表 11-3 就業服務人數－按職業、辦理單位及性別分 ","","","","","  Table 11-3 Number of Employment Services by Occupation, Institution and Sex","","","","",""," 表 11-3 就業服務人數－按職業、辦理單位及性別分(續) ","","","","","","","","","  Table 11-3 Number of Employment Services by Occupation, Institution and Sex (Cont.)","","","","","","",
" 求才利用率(D/B)  (%) ","66.24","63.74","58.13","67.57","62.8","68.01","69.84","67.65","68.55","65.92"," 求才利用率(D/B)  (%) ","66.24","6.14","60.64","59.33","33.18","24.77","66.89","89.97","26.35","86.21","80.75","81.65","84.31","68.77","0",
" Rate of  job openings filled ","","","","",,,,,,," Rate of  job openings filled ","","","","","","","","",,,,,,,,
" 資料來源： 勞動部勞動力發展署。 ","","","",""," Source：  Workforce Development Agency, MOL.","","","","","",,,,,,,,,,,,,,,,,
" 說　　明： 1.職業別「基層技術工及勞力工及其他」之其他係指未點選職業者。 ","","","",""," Note：  1."Elementary labourers & others" includes unspecified responses.","","","","","",,,,,,,,,,,,,,,,,
" 2.102年起依據「中華民國職業標準分類（第6次修訂）」編製。ˉ ","","","","","  2.Data series were classified from 2013 refer to Standard Occupational Classification System of R.O.C, Rev.6.","","","","","",,,,,,,,,,,,,,,,,
" 3.95年1月起，增加縣市就業服務據點(係指勞動力發展署補助縣市政府設置之就業服務台)資料。 ","","","","","  3.Beginning in January 2006, the data series include the services in city/county new established employment service stations.","","","","","",,,,,,,,,,,,,,,,,
" 4.97年8月起，納入原住民族委員會就業服務資料；105年10月起，納入國軍退除役官兵輔導委員會資料。 ","","","","","  4.Beginning in August 2008, the data series include employment service in the Council of Indigenous Peoples.","","","","","",,,,,,,,,,,,,,,,,
" 5.辦理單位之其他係為原住民族委員會及國軍退除役官兵輔導委員會資料。 ","","","","","     Beginning in October 2016,the data series include employment service in Veterans Affairs Council.","","","","","",,,,,,,,,,,,,,,,,
,,,,,"  5.Other institutions include employment service in The Council of Indigenous Peoples,Executive Yuan and Veterans Affairs Council.","","","","","",,,,,,,,,,,,,,,,,
" ","   -312-","","","","","","   -313-","","",""," ","","","   -314-","","","","","","","","","   -315-","","","",
